player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_fg_made,model_version
00-0035269,Matt Gay,LV,MIA,K,2026,REG,1,5,6.69,ELITE,2.13,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,CIN,K,2026,REG,1,1,88.35,ELITE,2.152,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,CIN,K,2026,REG,1,2,63.28,ELITE,2.152,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,CIN,K,2026,REG,1,3,36.68,ELITE,2.152,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,CIN,K,2026,REG,1,4,17.36,ELITE,2.152,NFL_FG_MADE_V1
00-0035358,Chase McLaughlin,TB,CIN,K,2026,REG,1,5,6.72,ELITE,2.152,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,HOU,K,2026,REG,1,1,78.64,ELITE,1.546,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,HOU,K,2026,REG,1,2,45.61,ELITE,1.546,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,HOU,K,2026,REG,1,3,20.42,ELITE,1.546,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,HOU,K,2026,REG,1,4,7.17,ELITE,1.546,NFL_FG_MADE_V1
00-0036162,Tyler Bass,BUF,HOU,K,2026,REG,1,5,2.15,ELITE,1.546,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,LV,K,2026,REG,1,1,83.55,ELITE,1.817,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,LV,K,2026,REG,1,2,54.18,ELITE,1.817,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,LV,K,2026,REG,1,3,27.43,ELITE,1.817,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,LV,K,2026,REG,1,4,11.22,ELITE,1.817,NFL_FG_MADE_V1
00-0036816,Riley Patterson,MIA,LV,K,2026,REG,1,5,3.93,ELITE,1.817,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,TB,K,2026,REG,1,1,83.38,ELITE,1.811,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,TB,K,2026,REG,1,2,53.89,ELITE,1.811,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,TB,K,2026,REG,1,3,27.33,ELITE,1.811,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,TB,K,2026,REG,1,4,11.28,ELITE,1.811,NFL_FG_MADE_V1
00-0036854,Evan McPherson,CIN,TB,K,2026,REG,1,5,3.86,ELITE,1.811,NFL_FG_MADE_V1
00-0037224,Cameron Dicker,LAC,ARI,K,2026,REG,1,1,89.51,ELITE,2.256,NFL_FG_MADE_V1
