Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,Last 5 Avg FS,Last 10 Avg FS,Last 15 Avg FS,Last 5 Fantasy Scores,Last 10 Fantasy Scores,Last 15 Fantasy Scores,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Lineup Source,Today Lineup Spot,Last 7 Mode Spot,Starts in Last 7,Last 7 Lineup Spots,Lineup Consistency %,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 5 Fantasy Score Details,Last 10 Fantasy Score Details,Last 15 Fantasy Score Details,Recent FS Games Available,Last 7 FS/G,Last 14 FS/G,Last 14 AVG,14-Game Batter Status,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
21,21,2026-07-12,Munetaka Murakami,CWS,ATH,ATH @ CWS,HOME,1B,10.06,10.14,5.6,9.2,9.2,4|2|9|0|13,4|2|9|0|13|28|18|14|4|0,4|2|9|0|13|28|18|14|4|0|19|8|4|8|7,81.0,76.1,76.1,68.7,68.7,60.5,60.5,55.8,55.8,49.0,49.0,45.6,45.6,41.1,41.1,246.54,A,Forecast 10.1 FS | Sim 10.1,2,Today Posted,2.0,2.0,1,2,100.0,4.94,Regular,13,1.04,J.T. Ginn,R,3.67,1.25,0.1912,0.03,0.106,5.21,1.47,0.2339,0.0397,Rate Field,1.0,1.0,,,,,Weather unavailable,259,211,0.232,0.371,0.54,0.911,180,0.978,49,5,0,20,45,42,46,1,1,2026-07-12 vs Athletics: 4 FS|2026-07-11 vs Athletics: 2 FS|2026-07-10 vs Athletics: 9 FS|2026-05-29 vs Detroit Tigers: 0 FS|2026-05-28 vs Minnesota Twins: 13 FS,2026-07-12 vs Athletics: 4 FS|2026-07-11 vs Athletics: 2 FS|2026-07-10 vs Athletics: 9 FS|2026-05-29 vs Detroit Tigers: 0 FS|2026-05-28 vs Minnesota Twins: 13 FS|2026-05-27 vs Minnesota Twins: 28 FS|2026-05-26 vs Minnesota Twins: 18 FS|2026-05-25 vs Minnesota Twins: 14 FS|2026-05-24 @ San Francisco Giants: 4 FS|2026-05-23 @ San Francisco Giants: 0 FS,2026-07-12 vs Athletics: 4 FS|2026-07-11 vs Athletics: 2 FS|2026-07-10 vs Athletics: 9 FS|2026-05-29 vs Detroit Tigers: 0 FS|2026-05-28 vs Minnesota Twins: 13 FS|2026-05-27 vs Minnesota Twins: 28 FS|2026-05-26 vs Minnesota Twins: 18 FS|2026-05-25 vs Minnesota Twins: 14 FS|2026-05-24 @ San Francisco Giants: 4 FS|2026-05-23 @ San Francisco Giants: 0 FS|2026-05-22 @ San Francisco Giants: 19 FS|2026-05-20 @ Seattle Mariners: 8 FS|2026-05-19 @ Seattle Mariners: 4 FS|2026-05-18 @ Seattle Mariners: 8 FS|2026-05-17 vs Chicago Cubs: 7 FS,15,10.57,9.36,0.224,Neutral,9.13,2.183,0.1833,0.1,0.05,0.1667,0.0167,7.0,8.63,4.0,16.0,22.0,0.1102,0.0333,0.0026,0.0565,0.1581,0.0115,0.1457,0.1362,0.0101,Low
22,22,2026-07-12,Casey Schmitt,SF,COL,COL @ SF,HOME,LF,10.39,10.32,10.8,9.1,6.53,3|18|8|25|0,3|18|8|25|0|3|0|16|10|8,3|18|8|25|0|3|0|16|10|8|0|0|2|0|5,86.2,76.4,76.4,74.7,74.7,64.2,64.2,59.5,59.5,54.2,54.2,47.7,47.7,45.1,45.1,245.57,A,Forecast 10.4 FS | Sim 10.3,3,Today Posted,3.0,3.0,7,3-3-3-3-3-3-2,85.7,4.92,Regular,13,1.04,Michael Lorenzen,R,6.22,1.77,0.2894,0.0302,0.0821,5.44,1.52,0.2549,0.0343,Oracle Park,0.94,1.0,75.8,2.9,279.0,0.0,neutral,370,350,0.28,0.308,0.497,0.805,270,0.786,98,17,1,19,42,50,9,7,7,2026-07-12 vs Colorado Rockies: 3 FS|2026-07-11 vs Colorado Rockies: 18 FS|2026-07-10 vs Colorado Rockies: 8 FS|2026-07-09 vs Colorado Rockies: 25 FS|2026-07-08 vs Toronto Blue Jays: 0 FS,2026-07-12 vs Colorado Rockies: 3 FS|2026-07-11 vs Colorado Rockies: 18 FS|2026-07-10 vs Colorado Rockies: 8 FS|2026-07-09 vs Colorado Rockies: 25 FS|2026-07-08 vs Toronto Blue Jays: 0 FS|2026-07-07 vs Toronto Blue Jays: 3 FS|2026-07-06 vs Toronto Blue Jays: 0 FS|2026-07-05 @ Colorado Rockies: 16 FS|2026-07-04 @ Colorado Rockies: 10 FS|2026-07-03 @ Colorado Rockies: 8 FS,2026-07-12 vs Colorado Rockies: 3 FS|2026-07-11 vs Colorado Rockies: 18 FS|2026-07-10 vs Colorado Rockies: 8 FS|2026-07-09 vs Colorado Rockies: 25 FS|2026-07-08 vs Toronto Blue Jays: 0 FS|2026-07-07 vs Toronto Blue Jays: 3 FS|2026-07-06 vs Toronto Blue Jays: 0 FS|2026-07-05 @ Colorado Rockies: 16 FS|2026-07-04 @ Colorado Rockies: 10 FS|2026-07-03 @ Colorado Rockies: 8 FS|2026-07-01 @ Arizona Diamondbacks: 0 FS|2026-06-30 @ Arizona Diamondbacks: 0 FS|2026-06-29 @ Arizona Diamondbacks: 2 FS|2026-06-28 vs Atlanta Braves: 0 FS|2026-06-27 vs Atlanta Braves: 5 FS,15,8.14,6.64,0.226,Neutral,6.7,1.632,0.2105,0.0877,0.0526,0.0351,0.0,8.0,8.25,4.0,15.0,22.0,0.2081,0.0566,0.0044,0.0452,0.0509,0.0141,0.1163,0.1462,0.0124,Medium
23,23,2026-07-12,Kyle Higashioka,TEX,HOU,HOU @ TEX,HOME,C,10.47,11.07,6.8,5.2,4.13,14|0|3|14|3,14|0|3|14|3|0|8|0|2|8,14|0|3|14|3|0|8|0|2|8|3|4|0|3|0,86.7,80.5,80.5,76.6,76.6,67.5,67.5,63.3,63.3,56.3,56.3,51.1,51.1,47.1,47.1,243.47,A,Forecast 10.5 FS | Sim 11.1,1,Last 7 Confirmed,,1.0,3,9-1-1,66.7,5.04,Regular,12,1.04,Cristian Javier,R,9.98,2.28,0.2532,0.038,0.1899,4.81,1.41,0.2093,0.0363,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,177,159,0.22,0.299,0.371,0.67,128,0.619,35,3,0,7,19,17,17,1,0,2026-07-12 vs Houston Astros: 14 FS|2026-07-10 vs Houston Astros: 0 FS|2026-07-09 vs Los Angeles Angels: 3 FS|2026-07-08 vs Los Angeles Angels: 14 FS|2026-07-07 vs Los Angeles Angels: 3 FS,2026-07-12 vs Houston Astros: 14 FS|2026-07-10 vs Houston Astros: 0 FS|2026-07-09 vs Los Angeles Angels: 3 FS|2026-07-08 vs Los Angeles Angels: 14 FS|2026-07-07 vs Los Angeles Angels: 3 FS|2026-07-02 vs Detroit Tigers: 0 FS|2026-07-01 @ Cleveland Guardians: 8 FS|2026-06-29 @ Cleveland Guardians: 0 FS|2026-06-26 @ Toronto Blue Jays: 2 FS|2026-06-25 @ Toronto Blue Jays: 8 FS,2026-07-12 vs Houston Astros: 14 FS|2026-07-10 vs Houston Astros: 0 FS|2026-07-09 vs Los Angeles Angels: 3 FS|2026-07-08 vs Los Angeles Angels: 14 FS|2026-07-07 vs Los Angeles Angels: 3 FS|2026-07-02 vs Detroit Tigers: 0 FS|2026-07-01 @ Cleveland Guardians: 8 FS|2026-06-29 @ Cleveland Guardians: 0 FS|2026-06-26 @ Toronto Blue Jays: 2 FS|2026-06-25 @ Toronto Blue Jays: 8 FS|2026-06-23 @ Miami Marlins: 3 FS|2026-06-21 vs San Diego Padres: 4 FS|2026-06-20 vs San Diego Padres: 0 FS|2026-06-18 vs Minnesota Twins: 3 FS|2026-06-15 vs Minnesota Twins: 0 FS,15,6.0,4.43,0.182,Cold,5.5,1.265,0.1633,0.0408,0.0408,0.102,0.0,9.0,8.61,5.0,16.0,23.0,0.1791,0.0421,0.0039,0.0507,0.1221,0.0128,0.1357,0.1016,0.0089,Medium
24,24,2026-07-12,Otto Lopez,MIA,CLE,CLE @ MIA,HOME,SS,9.51,9.06,6.0,12.2,10.6,0|2|0|18|10,0|2|0|18|10|3|30|26|13|20,0|2|0|18|10|3|30|26|13|20|3|19|0|15|0,82.9,74.2,74.2,70.6,70.6,59.6,59.6,55.2,55.2,48.2,48.2,42.6,42.6,38.7,38.7,241.81,A,Forecast 9.5 FS | Sim 9.1,1,Today Posted,1.0,2.0,7,2-1-2-2-3-1-3,42.9,5.13,Regular,14,1.04,Joey Cantillo,L,3.56,1.4,0.214,0.0279,0.114,3.71,1.26,0.2109,0.0304,loanDepot park,0.96,1.0,,,,,Indoor/retractable neutral,410,380,0.334,0.368,0.505,0.873,95,1.039,127,26,6,9,61,45,20,4,17,2026-07-12 vs Cleveland Guardians: 0 FS|2026-07-11 vs Cleveland Guardians: 2 FS|2026-07-10 vs Cleveland Guardians: 0 FS|2026-07-09 vs Seattle Mariners: 18 FS|2026-07-08 vs Seattle Mariners: 10 FS,2026-07-12 vs Cleveland Guardians: 0 FS|2026-07-11 vs Cleveland Guardians: 2 FS|2026-07-10 vs Cleveland Guardians: 0 FS|2026-07-09 vs Seattle Mariners: 18 FS|2026-07-08 vs Seattle Mariners: 10 FS|2026-07-07 vs Seattle Mariners: 3 FS|2026-07-05 @ Athletics: 30 FS|2026-07-04 @ Athletics: 26 FS|2026-07-03 @ Athletics: 13 FS|2026-07-02 @ Colorado Rockies: 20 FS,2026-07-12 vs Cleveland Guardians: 0 FS|2026-07-11 vs Cleveland Guardians: 2 FS|2026-07-10 vs Cleveland Guardians: 0 FS|2026-07-09 vs Seattle Mariners: 18 FS|2026-07-08 vs Seattle Mariners: 10 FS|2026-07-07 vs Seattle Mariners: 3 FS|2026-07-05 @ Athletics: 30 FS|2026-07-04 @ Athletics: 26 FS|2026-07-03 @ Athletics: 13 FS|2026-07-02 @ Colorado Rockies: 20 FS|2026-07-01 @ Colorado Rockies: 3 FS|2026-06-29 @ Colorado Rockies: 19 FS|2026-06-28 @ St. Louis Cardinals: 0 FS|2026-06-27 @ St. Louis Cardinals: 15 FS|2026-06-26 @ St. Louis Cardinals: 0 FS,15,9.0,11.36,0.328,Hot,10.9,2.409,0.303,0.1667,0.0455,0.0606,0.0152,7.0,7.45,3.0,13.0,20.0,0.1649,0.0518,0.0087,0.0258,0.0826,0.0113,0.1393,0.1004,0.0212,Low
25,25,2026-07-12,Sal Stewart,CIN,CHC,CHC @ CIN,HOME,1B,9.93,9.57,10.4,8.9,9.67,9|3|8|0|32,9|3|8|0|32|3|7|11|0|16,9|3|8|0|32|3|7|11|0|16|3|21|3|10|19,80.6,72.1,72.1,69.0,69.0,58.6,58.6,55.3,55.3,48.7,48.7,44.0,44.0,40.8,40.8,240.48,A,Forecast 9.9 FS | Sim 9.6,2,Today Posted,2.0,2.0,7,2-2-2-2-2-2-2,100.0,5.02,Regular,14,1.04,Matthew Boyd,L,4.5,1.28,0.2347,0.0255,0.0663,4.33,1.28,0.221,0.0412,Great American Ball Park,1.08,1.03,81.4,7.6,50.0,7.0,warm,414,363,0.256,0.338,0.474,0.812,108,0.922,93,22,0,19,51,65,45,2,11,2026-07-12 vs Chicago Cubs: 9 FS|2026-07-11 vs Chicago Cubs: 3 FS|2026-07-10 vs Chicago Cubs: 8 FS|2026-07-09 vs Philadelphia Phillies: 0 FS|2026-07-08 vs Philadelphia Phillies: 32 FS,2026-07-12 vs Chicago Cubs: 9 FS|2026-07-11 vs Chicago Cubs: 3 FS|2026-07-10 vs Chicago Cubs: 8 FS|2026-07-09 vs Philadelphia Phillies: 0 FS|2026-07-08 vs Philadelphia Phillies: 32 FS|2026-07-07 vs Philadelphia Phillies: 3 FS|2026-07-05 vs Baltimore Orioles: 7 FS|2026-07-04 vs Baltimore Orioles: 11 FS|2026-07-03 vs Baltimore Orioles: 0 FS|2026-07-02 @ Milwaukee Brewers: 16 FS,2026-07-12 vs Chicago Cubs: 9 FS|2026-07-11 vs Chicago Cubs: 3 FS|2026-07-10 vs Chicago Cubs: 8 FS|2026-07-09 vs Philadelphia Phillies: 0 FS|2026-07-08 vs Philadelphia Phillies: 32 FS|2026-07-07 vs Philadelphia Phillies: 3 FS|2026-07-05 vs Baltimore Orioles: 7 FS|2026-07-04 vs Baltimore Orioles: 11 FS|2026-07-03 vs Baltimore Orioles: 0 FS|2026-07-02 @ Milwaukee Brewers: 16 FS|2026-07-01 @ Milwaukee Brewers: 3 FS|2026-06-30 @ Milwaukee Brewers: 21 FS|2026-06-29 @ Milwaukee Brewers: 3 FS|2026-06-28 @ Pittsburgh Pirates: 10 FS|2026-06-27 @ Pittsburgh Pirates: 19 FS,15,8.86,9.0,0.281,Neutral,8.97,2.032,0.2581,0.1452,0.0645,0.0484,0.0,7.0,8.23,3.0,14.0,21.0,0.1394,0.0594,0.003,0.047,0.0793,0.0081,0.1265,0.1335,0.0147,Low
26,26,2026-07-12,Jake Burger,TEX,HOU,HOU @ TEX,HOME,1B,10.19,10.04,5.4,5.0,6.93,2|0|20|5|0,2|0|20|5|0|7|14|0|2|0,2|0|20|5|0|7|14|0|2|0|7|2|20|6|19,84.2,76.0,76.0,72.3,72.3,62.4,62.4,57.8,57.8,50.7,50.7,45.9,45.9,42.3,42.3,239.1,A,Forecast 10.2 FS | Sim 10.0,5,Today Posted,5.0,5.0,5,5-5-3-3-2,40.0,4.61,Regular,14,1.04,Cristian Javier,R,9.98,2.28,0.2532,0.038,0.1899,4.81,1.41,0.2093,0.0363,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,372,338,0.24,0.304,0.423,0.727,292,0.693,81,14,0,16,41,58,29,3,2,2026-07-12 vs Houston Astros: 2 FS|2026-07-11 vs Houston Astros: 0 FS|2026-07-10 vs Houston Astros: 20 FS|2026-07-09 vs Los Angeles Angels: 5 FS|2026-07-08 vs Los Angeles Angels: 0 FS,2026-07-12 vs Houston Astros: 2 FS|2026-07-11 vs Houston Astros: 0 FS|2026-07-10 vs Houston Astros: 20 FS|2026-07-09 vs Los Angeles Angels: 5 FS|2026-07-08 vs Los Angeles Angels: 0 FS|2026-07-07 vs Los Angeles Angels: 7 FS|2026-07-05 vs Detroit Tigers: 14 FS|2026-07-02 vs Detroit Tigers: 0 FS|2026-07-01 @ Cleveland Guardians: 2 FS|2026-06-30 @ Cleveland Guardians: 0 FS,2026-07-12 vs Houston Astros: 2 FS|2026-07-11 vs Houston Astros: 0 FS|2026-07-10 vs Houston Astros: 20 FS|2026-07-09 vs Los Angeles Angels: 5 FS|2026-07-08 vs Los Angeles Angels: 0 FS|2026-07-07 vs Los Angeles Angels: 7 FS|2026-07-05 vs Detroit Tigers: 14 FS|2026-07-02 vs Detroit Tigers: 0 FS|2026-07-01 @ Cleveland Guardians: 2 FS|2026-06-30 @ Cleveland Guardians: 0 FS|2026-06-29 @ Cleveland Guardians: 7 FS|2026-06-28 @ Toronto Blue Jays: 2 FS|2026-06-27 @ Toronto Blue Jays: 20 FS|2026-06-26 @ Toronto Blue Jays: 6 FS|2026-06-25 @ Toronto Blue Jays: 19 FS,15,6.86,6.07,0.154,Cold,7.63,1.466,0.1379,0.0345,0.0345,0.0862,0.0172,8.0,8.25,4.0,15.0,21.0,0.176,0.0485,0.0032,0.0543,0.1104,0.014,0.1133,0.1742,0.0097,Low
27,27,2026-07-12,Andy Pages,LAD,ARI,ARI @ LAD,HOME,CF,9.94,9.65,8.6,7.1,8.47,6|10|20|0|7,6|10|20|0|7|2|4|5|4|13,6|10|20|0|7|2|4|5|4|13|5|8|19|6|18,81.6,75.2,75.2,69.7,69.7,60.9,60.9,56.5,56.5,49.0,49.0,44.8,44.8,40.1,40.1,237.8,A,Forecast 9.9 FS | Sim 9.7,2,Today Posted,2.0,2.0,7,2-2-8-2-2-2-2,85.7,5.02,Regular,13,1.04,Mitch Bratt,L,6.0,1.67,0.1786,0.0357,0.1786,4.21,1.27,0.2245,0.0325,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,Weather unavailable,411,367,0.27,0.336,0.471,0.807,112,0.876,99,21,1,17,57,66,34,5,8,2026-07-12 vs Arizona Diamondbacks: 6 FS|2026-07-11 vs Arizona Diamondbacks: 10 FS|2026-07-10 vs Arizona Diamondbacks: 20 FS|2026-07-08 vs Colorado Rockies: 0 FS|2026-07-07 vs Colorado Rockies: 7 FS,2026-07-12 vs Arizona Diamondbacks: 6 FS|2026-07-11 vs Arizona Diamondbacks: 10 FS|2026-07-10 vs Arizona Diamondbacks: 20 FS|2026-07-08 vs Colorado Rockies: 0 FS|2026-07-07 vs Colorado Rockies: 7 FS|2026-07-06 vs Colorado Rockies: 2 FS|2026-07-05 vs San Diego Padres: 4 FS|2026-07-04 vs San Diego Padres: 5 FS|2026-07-03 vs San Diego Padres: 4 FS|2026-07-02 vs San Diego Padres: 13 FS,2026-07-12 vs Arizona Diamondbacks: 6 FS|2026-07-11 vs Arizona Diamondbacks: 10 FS|2026-07-10 vs Arizona Diamondbacks: 20 FS|2026-07-08 vs Colorado Rockies: 0 FS|2026-07-07 vs Colorado Rockies: 7 FS|2026-07-06 vs Colorado Rockies: 2 FS|2026-07-05 vs San Diego Padres: 4 FS|2026-07-04 vs San Diego Padres: 5 FS|2026-07-03 vs San Diego Padres: 4 FS|2026-07-02 vs San Diego Padres: 13 FS|2026-07-01 @ Athletics: 5 FS|2026-06-30 @ Athletics: 8 FS|2026-06-29 @ Athletics: 19 FS|2026-06-28 @ San Diego Padres: 6 FS|2026-06-27 @ San Diego Padres: 18 FS,15,7.0,7.79,0.271,Neutral,7.03,1.879,0.2241,0.069,0.0345,0.1379,0.0,7.0,8.05,4.0,14.0,21.0,0.1345,0.045,0.003,0.0422,0.1268,0.0173,0.1386,0.1373,0.0129,Low
28,28,2026-07-12,Jake McCarthy,COL,SF,COL @ SF,AWAY,CF,9.21,8.25,9.0,12.0,11.0,21|3|14|2|5,21|3|14|2|5|6|9|10|3|47,21|3|14|2|5|6|9|10|3|47|29|0|2|14|0,78.6,68.5,68.5,65.4,65.4,54.2,54.2,50.2,50.2,43.3,43.3,37.8,37.8,34.2,34.2,236.75,A,Forecast 9.2 FS | Sim 8.2,1,Today Posted,1.0,1.0,7,1-1-1-1-6-7-1,71.4,5.04,Regular,14,1.04,Trevor McDonald,R,5.02,1.3,0.2234,0.0206,0.0722,4.46,1.37,0.2183,0.0268,Oracle Park,0.94,1.0,75.8,2.9,279.0,0.0,neutral,307,279,0.301,0.347,0.516,0.863,234,0.827,84,18,6,10,39,53,18,3,15,2026-07-12 @ San Francisco Giants: 21 FS|2026-07-11 @ San Francisco Giants: 3 FS|2026-07-10 @ San Francisco Giants: 14 FS|2026-07-09 @ San Francisco Giants: 2 FS|2026-07-08 @ Los Angeles Dodgers: 5 FS,2026-07-12 @ San Francisco Giants: 21 FS|2026-07-11 @ San Francisco Giants: 3 FS|2026-07-10 @ San Francisco Giants: 14 FS|2026-07-09 @ San Francisco Giants: 2 FS|2026-07-08 @ Los Angeles Dodgers: 5 FS|2026-07-07 @ Los Angeles Dodgers: 6 FS|2026-07-06 @ Los Angeles Dodgers: 9 FS|2026-07-05 vs San Francisco Giants: 10 FS|2026-07-04 vs San Francisco Giants: 3 FS|2026-07-03 vs San Francisco Giants: 47 FS,2026-07-12 @ San Francisco Giants: 21 FS|2026-07-11 @ San Francisco Giants: 3 FS|2026-07-10 @ San Francisco Giants: 14 FS|2026-07-09 @ San Francisco Giants: 2 FS|2026-07-08 @ Los Angeles Dodgers: 5 FS|2026-07-07 @ Los Angeles Dodgers: 6 FS|2026-07-06 @ Los Angeles Dodgers: 9 FS|2026-07-05 vs San Francisco Giants: 10 FS|2026-07-04 vs San Francisco Giants: 3 FS|2026-07-03 vs San Francisco Giants: 47 FS|2026-07-02 vs Miami Marlins: 29 FS|2026-07-01 vs Miami Marlins: 0 FS|2026-06-30 vs Miami Marlins: 2 FS|2026-06-29 vs Miami Marlins: 14 FS|2026-06-28 @ Minnesota Twins: 0 FS,15,8.57,11.79,0.291,Neutral,10.37,2.661,0.2581,0.1452,0.0645,0.0645,0.0323,7.0,7.26,3.0,12.0,19.0,0.1509,0.0503,0.0087,0.0255,0.0697,0.011,0.1268,0.1379,0.0216,Low
29,29,2026-07-12,Ryan O'Hearn,PIT,MIL,MIL @ PIT,HOME,RF,9.37,8.7,5.4,11.2,11.53,20|2|2|0|3,20|2|2|0|3|59|13|8|0|5,20|2|2|0|3|59|13|8|0|5|5|2|12|37|5,76.6,66.0,66.0,62.8,62.8,52.5,52.5,48.8,48.8,43.5,43.5,39.1,39.1,36.3,36.3,236.08,A,Forecast 9.4 FS | Sim 8.7,5,Last 7 Confirmed,,5.0,6,5-5-5-5-5-5,100.0,4.52,Regular,13,1.04,Robert Gasser,L,5.24,1.27,0.2239,0.0498,0.0697,3.48,1.17,0.1958,0.0268,PNC Park,0.97,1.03,80.7,2.7,114.0,1.0,warm,339,306,0.288,0.351,0.487,0.838,94,0.701,88,13,0,16,49,63,26,5,1,2026-07-12 vs Milwaukee Brewers: 20 FS|2026-07-11 vs Milwaukee Brewers: 2 FS|2026-07-11 vs Milwaukee Brewers: 2 FS|2026-07-09 vs Atlanta Braves: 0 FS|2026-07-08 vs Atlanta Braves: 3 FS,2026-07-12 vs Milwaukee Brewers: 20 FS|2026-07-11 vs Milwaukee Brewers: 2 FS|2026-07-11 vs Milwaukee Brewers: 2 FS|2026-07-09 vs Atlanta Braves: 0 FS|2026-07-08 vs Atlanta Braves: 3 FS|2026-07-07 vs Atlanta Braves: 59 FS|2026-07-05 @ Washington Nationals: 13 FS|2026-07-04 @ Washington Nationals: 8 FS|2026-07-03 @ Washington Nationals: 0 FS|2026-07-02 @ Philadelphia Phillies: 5 FS,2026-07-12 vs Milwaukee Brewers: 20 FS|2026-07-11 vs Milwaukee Brewers: 2 FS|2026-07-11 vs Milwaukee Brewers: 2 FS|2026-07-09 vs Atlanta Braves: 0 FS|2026-07-08 vs Atlanta Braves: 3 FS|2026-07-07 vs Atlanta Braves: 59 FS|2026-07-05 @ Washington Nationals: 13 FS|2026-07-04 @ Washington Nationals: 8 FS|2026-07-03 @ Washington Nationals: 0 FS|2026-07-02 @ Philadelphia Phillies: 5 FS|2026-07-01 @ Philadelphia Phillies: 5 FS|2026-06-30 @ Philadelphia Phillies: 2 FS|2026-06-29 @ Philadelphia Phillies: 12 FS|2026-06-28 vs Cincinnati Reds: 37 FS|2026-06-27 vs Cincinnati Reds: 5 FS,15,14.14,12.0,0.327,Hot,9.1,2.8,0.2833,0.1167,0.0833,0.0833,0.0,6.0,8.07,3.0,14.0,20.0,0.1514,0.0402,0.0026,0.0562,0.0692,0.0133,0.1332,0.1788,0.0086,Low
30,30,2026-07-12,Mike Trout,LAA,MIN,LAA @ MIN,AWAY,CF,9.53,9.46,9.0,11.1,9.53,6|10|4|20|5,6|10|4|20|5|23|21|5|8|9,6|10|4|20|5|23|21|5|8|9|21|9|2|0|0,79.7,73.6,73.6,67.0,67.0,58.0,58.0,53.8,53.8,45.8,45.8,42.1,42.1,37.5,37.5,235.5,A,Forecast 9.5 FS | Sim 9.5,2,Today Posted,2.0,2.0,3,2-2-2,100.0,5.02,Regular,14,1.04,Taj Bradley,R,3.59,1.22,0.1972,0.0348,0.0928,4.62,1.37,0.2211,0.0307,Target Field,0.98,1.04,87.2,10.2,216.0,0.0,"warm, light wind",354,283,0.237,0.39,0.473,0.863,267,0.865,67,13,0,18,58,39,67,4,7,2026-07-12 @ Minnesota Twins: 6 FS|2026-07-11 @ Minnesota Twins: 10 FS|2026-07-09 @ Texas Rangers: 4 FS|2026-07-08 @ Texas Rangers: 20 FS|2026-06-17 @ Arizona Diamondbacks: 5 FS,2026-07-12 @ Minnesota Twins: 6 FS|2026-07-11 @ Minnesota Twins: 10 FS|2026-07-09 @ Texas Rangers: 4 FS|2026-07-08 @ Texas Rangers: 20 FS|2026-06-17 @ Arizona Diamondbacks: 5 FS|2026-06-16 @ Arizona Diamondbacks: 23 FS|2026-06-15 @ Arizona Diamondbacks: 21 FS|2026-06-14 vs Tampa Bay Rays: 5 FS|2026-06-13 vs Tampa Bay Rays: 8 FS|2026-06-12 vs Tampa Bay Rays: 9 FS,2026-07-12 @ Minnesota Twins: 6 FS|2026-07-11 @ Minnesota Twins: 10 FS|2026-07-09 @ Texas Rangers: 4 FS|2026-07-08 @ Texas Rangers: 20 FS|2026-06-17 @ Arizona Diamondbacks: 5 FS|2026-06-16 @ Arizona Diamondbacks: 23 FS|2026-06-15 @ Arizona Diamondbacks: 21 FS|2026-06-14 vs Tampa Bay Rays: 5 FS|2026-06-13 vs Tampa Bay Rays: 8 FS|2026-06-12 vs Tampa Bay Rays: 9 FS|2026-06-10 vs Houston Astros: 21 FS|2026-06-09 vs Houston Astros: 9 FS|2026-06-08 vs Houston Astros: 2 FS|2026-06-07 @ Los Angeles Dodgers: 0 FS|2026-06-06 @ Los Angeles Dodgers: 0 FS,15,12.71,10.21,0.254,Neutral,9.03,2.134,0.2239,0.1045,0.0597,0.1045,0.0299,7.0,8.3,3.0,14.0,21.0,0.1118,0.0387,0.0023,0.0468,0.1469,0.0127,0.1368,0.1086,0.0144,Low
