player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,145.0,3.57,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,150.0,2.95,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,155.0,2.41,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,160.0,1.98,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,165.0,1.59,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,170.0,1.26,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,175.0,0.99,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,180.0,0.79,HIGH,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,185.0,0.63,SOLID,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,190.0,0.49,COIN FLIP,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,195.0,0.39,LOW,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,200.0,0.26,LOW,48.217,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,0.0,100.0,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,5.0,66.4,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,10.0,63.66,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,15.0,60.89,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,20.0,58.16,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,25.0,55.31,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,30.0,52.46,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,35.0,49.59,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,40.0,46.63,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,45.0,43.82,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,50.0,41.0,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,55.0,38.24,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,60.0,35.48,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,65.0,32.86,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,70.0,30.29,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,75.0,27.85,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,80.0,25.56,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,85.0,23.31,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,90.0,21.07,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,95.0,19.05,ELITE,48.143,NFL_RUSHING_YARDS_V1
00-0036223,Jonathan Taylor,IND,DET,RB,2026,PRE,3,100.0,17.18,ELITE,48.143,NFL_RUSHING_YARDS_V1
