player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,6,6,39.16,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,7,7,26.81,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,8,8,16.8,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,9,9,9.59,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,10,10,4.95,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,1,1,98.62,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,2,2,95.1,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,3,3,86.29,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,4,4,70.68,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033906,Alvin Kamara,NO,LV,RB,2026,REG,3,5,5,49.78,ELITE,4.474,4.486,4.0,2.0,7.0,1.818,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
