player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_fg_made,model_version
00-0038097,Cade York,NYJ,PIT,K,2026,PRE,2,3,24.19,ELITE,1.692,NFL_FG_MADE_V1
00-0038097,Cade York,NYJ,PIT,K,2026,PRE,2,4,9.4,ELITE,1.692,NFL_FG_MADE_V1
00-0038097,Cade York,NYJ,PIT,K,2026,PRE,2,5,3.0,ELITE,1.692,NFL_FG_MADE_V1
00-0038152,Lucas Havrisik,GB,DEN,K,2026,PRE,2,1,84.27,ELITE,1.858,NFL_FG_MADE_V1
00-0038152,Lucas Havrisik,GB,DEN,K,2026,PRE,2,2,55.22,ELITE,1.858,NFL_FG_MADE_V1
00-0038152,Lucas Havrisik,GB,DEN,K,2026,PRE,2,3,28.6,ELITE,1.858,NFL_FG_MADE_V1
00-0038152,Lucas Havrisik,GB,DEN,K,2026,PRE,2,4,11.99,ELITE,1.858,NFL_FG_MADE_V1
00-0038152,Lucas Havrisik,GB,DEN,K,2026,PRE,2,5,4.21,ELITE,1.858,NFL_FG_MADE_V1
00-0038428,Andre Szmyt,CLE,BUF,K,2026,PRE,2,1,73.88,ELITE,1.345,NFL_FG_MADE_V1
00-0038428,Andre Szmyt,CLE,BUF,K,2026,PRE,2,2,38.8,ELITE,1.345,NFL_FG_MADE_V1
00-0038428,Andre Szmyt,CLE,BUF,K,2026,PRE,2,3,15.54,ELITE,1.345,NFL_FG_MADE_V1
00-0038428,Andre Szmyt,CLE,BUF,K,2026,PRE,2,4,4.82,ELITE,1.345,NFL_FG_MADE_V1
00-0038428,Andre Szmyt,CLE,BUF,K,2026,PRE,2,5,1.18,ELITE,1.345,NFL_FG_MADE_V1
00-0038562,Jake Moody,WAS,DET,K,2026,PRE,2,1,80.89,ELITE,1.674,NFL_FG_MADE_V1
00-0038562,Jake Moody,WAS,DET,K,2026,PRE,2,2,49.75,ELITE,1.674,NFL_FG_MADE_V1
00-0038562,Jake Moody,WAS,DET,K,2026,PRE,2,3,23.73,ELITE,1.674,NFL_FG_MADE_V1
00-0038562,Jake Moody,WAS,DET,K,2026,PRE,2,4,9.14,ELITE,1.674,NFL_FG_MADE_V1
00-0038562,Jake Moody,WAS,DET,K,2026,PRE,2,5,2.95,ELITE,1.674,NFL_FG_MADE_V1
00-0038748,B.T. Potter,TB,KC,K,2026,PRE,2,1,70.04,ELITE,1.206,NFL_FG_MADE_V1
00-0038748,B.T. Potter,TB,KC,K,2026,PRE,2,2,33.87,ELITE,1.206,NFL_FG_MADE_V1
00-0038748,B.T. Potter,TB,KC,K,2026,PRE,2,3,12.24,ELITE,1.206,NFL_FG_MADE_V1
00-0038748,B.T. Potter,TB,KC,K,2026,PRE,2,4,3.45,ELITE,1.206,NFL_FG_MADE_V1
00-0038748,B.T. Potter,TB,KC,K,2026,PRE,2,5,0.78,HIGH,1.206,NFL_FG_MADE_V1
00-0038905,Blake Grupe,IND,ATL,K,2026,PRE,2,1,80.12,ELITE,1.626,NFL_FG_MADE_V1
00-0038905,Blake Grupe,IND,ATL,K,2026,PRE,2,2,48.16,ELITE,1.626,NFL_FG_MADE_V1
00-0038905,Blake Grupe,IND,ATL,K,2026,PRE,2,3,22.52,ELITE,1.626,NFL_FG_MADE_V1
00-0038905,Blake Grupe,IND,ATL,K,2026,PRE,2,4,8.44,ELITE,1.626,NFL_FG_MADE_V1
00-0038905,Blake Grupe,IND,ATL,K,2026,PRE,2,5,2.56,ELITE,1.626,NFL_FG_MADE_V1
00-0039172,Jake Bates,DET,WAS,K,2026,PRE,2,1,80.63,ELITE,1.649,NFL_FG_MADE_V1
00-0039172,Jake Bates,DET,WAS,K,2026,PRE,2,2,49.12,ELITE,1.649,NFL_FG_MADE_V1
00-0039172,Jake Bates,DET,WAS,K,2026,PRE,2,3,22.98,ELITE,1.649,NFL_FG_MADE_V1
00-0039172,Jake Bates,DET,WAS,K,2026,PRE,2,4,8.65,ELITE,1.649,NFL_FG_MADE_V1
00-0039172,Jake Bates,DET,WAS,K,2026,PRE,2,5,2.71,ELITE,1.649,NFL_FG_MADE_V1
00-0039229,Charlie Smyth,NO,LAR,K,2026,PRE,2,1,87.38,ELITE,2.074,NFL_FG_MADE_V1
00-0039229,Charlie Smyth,NO,LAR,K,2026,PRE,2,2,61.36,ELITE,2.074,NFL_FG_MADE_V1
00-0039229,Charlie Smyth,NO,LAR,K,2026,PRE,2,3,34.52,ELITE,2.074,NFL_FG_MADE_V1
00-0039229,Charlie Smyth,NO,LAR,K,2026,PRE,2,4,15.79,ELITE,2.074,NFL_FG_MADE_V1
00-0039229,Charlie Smyth,NO,LAR,K,2026,PRE,2,5,6.04,ELITE,2.074,NFL_FG_MADE_V1
00-0039404,Will Reichard,MIN,BAL,K,2026,PRE,2,1,83.88,ELITE,1.826,NFL_FG_MADE_V1
00-0039404,Will Reichard,MIN,BAL,K,2026,PRE,2,2,54.46,ELITE,1.826,NFL_FG_MADE_V1
00-0039404,Will Reichard,MIN,BAL,K,2026,PRE,2,3,27.71,ELITE,1.826,NFL_FG_MADE_V1
00-0039404,Will Reichard,MIN,BAL,K,2026,PRE,2,4,11.32,ELITE,1.826,NFL_FG_MADE_V1
00-0039404,Will Reichard,MIN,BAL,K,2026,PRE,2,5,3.87,ELITE,1.826,NFL_FG_MADE_V1
00-0039409,Cam Little,JAX,CAR,K,2026,PRE,2,1,80.53,ELITE,1.634,NFL_FG_MADE_V1
00-0039409,Cam Little,JAX,CAR,K,2026,PRE,2,2,48.5,ELITE,1.634,NFL_FG_MADE_V1
00-0039409,Cam Little,JAX,CAR,K,2026,PRE,2,3,22.57,ELITE,1.634,NFL_FG_MADE_V1
00-0039409,Cam Little,JAX,CAR,K,2026,PRE,2,4,8.41,ELITE,1.634,NFL_FG_MADE_V1
00-0039409,Cam Little,JAX,CAR,K,2026,PRE,2,5,2.56,ELITE,1.634,NFL_FG_MADE_V1
00-0039498,Harrison Mevis,LAR,NO,K,2026,PRE,2,1,82.39,ELITE,1.743,NFL_FG_MADE_V1
00-0039498,Harrison Mevis,LAR,NO,K,2026,PRE,2,2,52.03,ELITE,1.743,NFL_FG_MADE_V1
00-0039498,Harrison Mevis,LAR,NO,K,2026,PRE,2,3,25.55,ELITE,1.743,NFL_FG_MADE_V1
00-0039498,Harrison Mevis,LAR,NO,K,2026,PRE,2,4,9.99,ELITE,1.743,NFL_FG_MADE_V1
00-0039498,Harrison Mevis,LAR,NO,K,2026,PRE,2,5,3.19,ELITE,1.743,NFL_FG_MADE_V1
00-0039576,Spencer Shrader,IND,ATL,K,2026,PRE,2,1,92.48,ELITE,2.594,NFL_FG_MADE_V1
00-0039576,Spencer Shrader,IND,ATL,K,2026,PRE,2,2,73.2,ELITE,2.594,NFL_FG_MADE_V1
00-0039576,Spencer Shrader,IND,ATL,K,2026,PRE,2,3,48.27,ELITE,2.594,NFL_FG_MADE_V1
00-0039576,Spencer Shrader,IND,ATL,K,2026,PRE,2,4,26.61,ELITE,2.594,NFL_FG_MADE_V1
00-0039576,Spencer Shrader,IND,ATL,K,2026,PRE,2,5,12.39,ELITE,2.594,NFL_FG_MADE_V1
00-0040074,Tyler Loop,BAL,MIN,K,2026,PRE,2,1,84.22,ELITE,1.853,NFL_FG_MADE_V1
00-0040074,Tyler Loop,BAL,MIN,K,2026,PRE,2,2,55.24,ELITE,1.853,NFL_FG_MADE_V1
00-0040074,Tyler Loop,BAL,MIN,K,2026,PRE,2,3,28.37,ELITE,1.853,NFL_FG_MADE_V1
00-0040074,Tyler Loop,BAL,MIN,K,2026,PRE,2,4,11.81,ELITE,1.853,NFL_FG_MADE_V1
00-0040074,Tyler Loop,BAL,MIN,K,2026,PRE,2,5,4.18,ELITE,1.853,NFL_FG_MADE_V1
00-0040200,Andy Borregales,NE,PHI,K,2026,PRE,2,1,83.49,ELITE,1.806,NFL_FG_MADE_V1
00-0040200,Andy Borregales,NE,PHI,K,2026,PRE,2,2,53.67,ELITE,1.806,NFL_FG_MADE_V1
00-0040200,Andy Borregales,NE,PHI,K,2026,PRE,2,3,27.23,ELITE,1.806,NFL_FG_MADE_V1
00-0040200,Andy Borregales,NE,PHI,K,2026,PRE,2,4,11.16,ELITE,1.806,NFL_FG_MADE_V1
00-0040200,Andy Borregales,NE,PHI,K,2026,PRE,2,5,3.75,ELITE,1.806,NFL_FG_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,JAX,K,2026,PRE,2,1,70.72,ELITE,1.233,NFL_FG_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,JAX,K,2026,PRE,2,2,34.73,ELITE,1.233,NFL_FG_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,JAX,K,2026,PRE,2,3,12.93,ELITE,1.233,NFL_FG_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,JAX,K,2026,PRE,2,4,3.82,ELITE,1.233,NFL_FG_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,JAX,K,2026,PRE,2,5,0.9,ELITE,1.233,NFL_FG_MADE_V1
00-0040530,Ben Sauls,NYG,MIA,K,2026,PRE,2,1,90.3,ELITE,2.331,NFL_FG_MADE_V1
00-0040530,Ben Sauls,NYG,MIA,K,2026,PRE,2,2,67.56,ELITE,2.331,NFL_FG_MADE_V1
00-0040530,Ben Sauls,NYG,MIA,K,2026,PRE,2,3,41.32,ELITE,2.331,NFL_FG_MADE_V1
00-0040530,Ben Sauls,NYG,MIA,K,2026,PRE,2,4,20.87,ELITE,2.331,NFL_FG_MADE_V1
00-0040530,Ben Sauls,NYG,MIA,K,2026,PRE,2,5,8.95,ELITE,2.331,NFL_FG_MADE_V1
00-0040899,Trey Smack,GB,DEN,K,2026,PRE,2,1,70.06,ELITE,1.203,NFL_FG_MADE_V1
00-0040899,Trey Smack,GB,DEN,K,2026,PRE,2,2,33.86,ELITE,1.203,NFL_FG_MADE_V1
00-0040899,Trey Smack,GB,DEN,K,2026,PRE,2,3,12.06,ELITE,1.203,NFL_FG_MADE_V1
00-0040899,Trey Smack,GB,DEN,K,2026,PRE,2,4,3.38,ELITE,1.203,NFL_FG_MADE_V1
00-0040899,Trey Smack,GB,DEN,K,2026,PRE,2,5,0.77,HIGH,1.203,NFL_FG_MADE_V1
00-0041145,Dominic Zvada,NYG,MIA,K,2026,PRE,2,1,70.02,ELITE,1.209,NFL_FG_MADE_V1
00-0041145,Dominic Zvada,NYG,MIA,K,2026,PRE,2,2,34.07,ELITE,1.209,NFL_FG_MADE_V1
00-0041145,Dominic Zvada,NYG,MIA,K,2026,PRE,2,3,12.25,ELITE,1.209,NFL_FG_MADE_V1
00-0041145,Dominic Zvada,NYG,MIA,K,2026,PRE,2,4,3.52,ELITE,1.209,NFL_FG_MADE_V1
00-0041145,Dominic Zvada,NYG,MIA,K,2026,PRE,2,5,0.81,VERY HIGH,1.209,NFL_FG_MADE_V1
00-0041174,Gabriel Plascencia,CHI,CIN,K,2026,PRE,2,1,70.04,ELITE,1.206,NFL_FG_MADE_V1
00-0041174,Gabriel Plascencia,CHI,CIN,K,2026,PRE,2,2,33.86,ELITE,1.206,NFL_FG_MADE_V1
00-0041174,Gabriel Plascencia,CHI,CIN,K,2026,PRE,2,3,12.3,ELITE,1.206,NFL_FG_MADE_V1
00-0041174,Gabriel Plascencia,CHI,CIN,K,2026,PRE,2,4,3.4,ELITE,1.206,NFL_FG_MADE_V1
00-0041174,Gabriel Plascencia,CHI,CIN,K,2026,PRE,2,5,0.81,VERY HIGH,1.206,NFL_FG_MADE_V1
00-0041182,Drew Stevens,WAS,DET,K,2026,PRE,2,1,69.92,ELITE,1.206,NFL_FG_MADE_V1
00-0041182,Drew Stevens,WAS,DET,K,2026,PRE,2,2,33.9,ELITE,1.206,NFL_FG_MADE_V1
00-0041182,Drew Stevens,WAS,DET,K,2026,PRE,2,3,12.29,ELITE,1.206,NFL_FG_MADE_V1
00-0041182,Drew Stevens,WAS,DET,K,2026,PRE,2,4,3.46,ELITE,1.206,NFL_FG_MADE_V1
00-0041182,Drew Stevens,WAS,DET,K,2026,PRE,2,5,0.81,VERY HIGH,1.206,NFL_FG_MADE_V1
00-0041262,Laith Marjan,PIT,NYJ,K,2026,PRE,2,1,69.92,ELITE,1.203,NFL_FG_MADE_V1
00-0041262,Laith Marjan,PIT,NYJ,K,2026,PRE,2,2,33.8,ELITE,1.203,NFL_FG_MADE_V1
00-0041262,Laith Marjan,PIT,NYJ,K,2026,PRE,2,3,12.11,ELITE,1.203,NFL_FG_MADE_V1
00-0041262,Laith Marjan,PIT,NYJ,K,2026,PRE,2,4,3.46,ELITE,1.203,NFL_FG_MADE_V1
00-0041262,Laith Marjan,PIT,NYJ,K,2026,PRE,2,5,0.78,HIGH,1.203,NFL_FG_MADE_V1
00-0041333,Mason Shipley,NO,LAR,K,2026,PRE,2,1,69.47,ELITE,1.193,NFL_FG_MADE_V1
00-0041333,Mason Shipley,NO,LAR,K,2026,PRE,2,2,33.43,ELITE,1.193,NFL_FG_MADE_V1
00-0041333,Mason Shipley,NO,LAR,K,2026,PRE,2,3,12.02,ELITE,1.193,NFL_FG_MADE_V1
00-0041333,Mason Shipley,NO,LAR,K,2026,PRE,2,4,3.4,ELITE,1.193,NFL_FG_MADE_V1
00-0041333,Mason Shipley,NO,LAR,K,2026,PRE,2,5,0.8,HIGH,1.193,NFL_FG_MADE_V1
00-0041582,Kansei Matsuzawa,LV,HOU,K,2026,PRE,2,1,69.57,ELITE,1.193,NFL_FG_MADE_V1
00-0041582,Kansei Matsuzawa,LV,HOU,K,2026,PRE,2,2,33.46,ELITE,1.193,NFL_FG_MADE_V1
00-0041582,Kansei Matsuzawa,LV,HOU,K,2026,PRE,2,3,11.94,ELITE,1.193,NFL_FG_MADE_V1
00-0041582,Kansei Matsuzawa,LV,HOU,K,2026,PRE,2,4,3.33,ELITE,1.193,NFL_FG_MADE_V1
00-0041582,Kansei Matsuzawa,LV,HOU,K,2026,PRE,2,5,0.78,HIGH,1.193,NFL_FG_MADE_V1
