player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,90,90,1.9,1.9,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,95,95,1.5,1.5,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,100,100,1.1,1.1,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,105,105,0.7,0.7,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,110,110,0.5,0.5,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,115,115,0.4,0.4,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,120,120,0.2,0.2,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,125,125,0.1,0.1,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,130,130,0.1,0.1,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,135,135,0.1,0.1,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,140,140,0.1,0.1,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,145,145,0.1,0.1,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,150,150,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,155,155,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,160,160,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,165,165,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,170,170,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,175,175,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,180,180,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,185,185,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,190,190,0.0,0.0,VERY LOW,28.4
aaron jones__MIN,00-0033293,Aaron Jones,MIN,BAL,RB,2026,PRE,2,195,195,0.0,0.0,VERY LOW,28.4
