player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_receiving_yards,model_version
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,80.0,0.04,VERY LOW,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,90.0,0.01,VERY LOW,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,100.0,0.0,VERY LOW,23.598,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,10.0,76.59,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,20.0,59.75,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,30.0,41.41,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,40.0,24.17,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,50.0,12.41,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,60.0,4.84,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,70.0,1.65,ELITE,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,80.0,0.44,COIN FLIP,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,90.0,0.13,VERY LOW,26.511,NFL_RECEIVING_YARDS_V1
00-0032464,Kalif Raymond,CHI,CAR,WR,2026,REG,1,100.0,0.01,VERY LOW,26.511,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,10.0,69.43,ELITE,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,20.0,37.3,ELITE,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,30.0,12.63,ELITE,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,40.0,2.53,ELITE,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,50.0,0.42,COIN FLIP,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,60.0,0.04,VERY LOW,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,70.0,0.0,VERY LOW,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,80.0,0.0,VERY LOW,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,90.0,0.0,VERY LOW,16.681,NFL_RECEIVING_YARDS_V1
00-0032764,Derrick Henry,BAL,IND,RB,2026,REG,1,100.0,0.0,VERY LOW,16.681,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,10.0,75.61,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,20.0,58.64,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,30.0,39.75,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,40.0,22.82,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,50.0,11.05,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,60.0,4.71,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,70.0,1.58,ELITE,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,80.0,0.42,COIN FLIP,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,90.0,0.11,VERY LOW,25.757,NFL_RECEIVING_YARDS_V1
00-0032775,Demarcus Robinson,SF,LAR,WR,2026,REG,1,100.0,0.0,VERY LOW,25.757,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,10.0,99.51,ELITE,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,20.0,89.24,ELITE,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,30.0,43.74,ELITE,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,40.0,5.64,ELITE,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,50.0,0.19,VERY LOW,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,60.0,0.0,VERY LOW,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,70.0,0.0,VERY LOW,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,80.0,0.0,VERY LOW,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,90.0,0.0,VERY LOW,28.824,NFL_RECEIVING_YARDS_V1
00-0032951,Laquon Treadwell,IND,BAL,WR,2026,REG,1,100.0,0.0,VERY LOW,28.824,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,10.0,88.89,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,20.0,81.01,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,30.0,70.61,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,40.0,57.68,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,50.0,43.66,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,60.0,30.85,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,70.0,19.82,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,80.0,11.54,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,90.0,6.01,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033090,Hunter Henry,NE,SEA,TE,2026,REG,1,100.0,2.94,ELITE,46.116,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,10.0,84.71,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,20.0,71.11,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,30.0,53.26,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,40.0,34.75,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,50.0,19.57,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,60.0,8.99,ELITE,32.35,NFL_RECEIVING_YARDS_V1
00-0033110,Tyler Higbee,LAR,SF,TE,2026,REG,1,70.0,3.69,ELITE,32.35,NFL_RECEIVING_YARDS_V1
