rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,qb_hits_source,hurries_source,pressures_source,rush_snaps_source,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
306,2026,REG,3,401872949,2026-09-27T17:00Z,00-0039764,Elijah Chatman,CLE,CAR,HOME,DL,0.1,0.0,0.5,0.1007,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.375,43.0,38.0,LESS,20000,8.8,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.8,0.5,0.4,0.0,0.0,0.0,0.0,8.8,0.4,0.0,0.0,FADE
307,2026,REG,3,401872952,2026-09-27T17:00Z,00-0036682,Malik Herring,MIA,KC,HOME,DL,0.1,0.0,0.5,0.1043,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,33.0,LESS,20000,8.7,0.6,0.4,0.0,0.0,0.0,0.0,0.0,8.7,0.6,0.4,0.0,0.0,0.0,0.0,8.7,0.4,0.0,0.0,FADE
308,2026,REG,3,401872958,2026-09-27T20:05Z,00-0037804,Zachary Carter,ARI,SF,AWAY,DL,0.099,0.0,0.5,0.0959,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.0,0.9,0.5,20.0,43.0,LESS,20000,8.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.7,0.5,0.4,0.0,0.0,0.0,0.0,8.7,0.4,0.0,0.0,FADE
309,2026,REG,3,401872952,2026-09-27T17:00Z,00-0038545,Mazi Smith,MIA,KC,HOME,DL,0.099,0.0,0.5,0.1007,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.375,43.0,38.0,LESS,20000,8.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.7,0.5,0.4,0.0,0.0,0.0,0.0,8.7,0.4,0.0,0.0,FADE
310,2026,REG,3,401872952,2026-09-27T17:00Z,00-0040066,Jackson Woodard,MIA,KC,HOME,LB,0.098,0.0,0.5,0.0954,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,33.0,LESS,20000,8.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.5,0.5,0.4,0.0,0.0,0.0,0.0,8.5,0.4,0.0,0.0,FADE
311,2026,REG,3,401872953,2026-09-27T17:00Z,00-0036338,Troy Dye,LAC,BUF,AWAY,LB,0.097,0.0,0.5,0.0958,0.5,1.0,0.1,0.05,0.25,0.062,2.0,1.5,0.2,0.377,0.69,,9.2,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.928,1.0,43.0,73.0,LESS,20000,8.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.5,0.5,0.4,0.0,0.0,0.0,0.0,8.5,0.4,0.0,0.0,FADE
312,2026,REG,3,401872948,2026-09-25T00:15Z,00-0037269,Eric Johnson,GB,ATL,HOME,DL,0.097,0.0,0.5,0.0976,0.0,0.0,0.0,0.0,,0.0,3.0,3.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.9,0.625,66.0,48.0,LESS,20000,8.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,8.5,0.4,0.3,0.0,0.0,0.0,0.0,8.5,0.3,0.0,0.0,FADE
313,2026,REG,3,401872953,2026-09-27T17:00Z,00-0038099,Phidarian Mathis,BUF,LAC,HOME,DL,0.097,0.0,0.05,0.0976,0.0,0.0,0.0,0.0,,0.0,3.0,3.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.9,0.625,66.0,48.0,LESS,20000,8.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.5,0.5,0.4,0.0,0.0,0.0,0.0,8.5,0.4,0.0,0.0,FADE
314,2026,REG,3,401872950,2026-09-27T17:00Z,00-0027969,Cameron Heyward,PIT,CIN,HOME,DL,0.096,0.0,0.0,0.0974,0.0,3.5,0.0,0.2,0.0,0.194,3.0,3.5,0.4,0.721,1.212,,11.5,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.948,1.0,66.0,73.0,LESS,20000,8.5,0.4,0.3,0.0,0.0,0.0,0.0,0.0,8.5,0.4,0.3,0.0,0.0,0.0,0.0,8.5,0.3,0.0,0.0,FADE
315,2026,REG,3,401872954,2026-09-27T17:00Z,00-0040196,Tyler Baron,NYJ,DET,AWAY,LB,0.096,0.0,0.0,0.0951,0.0,0.0,0.0,0.0,,0.0,2.5,3.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,0.9,0.5,54.0,43.0,LESS,20000,8.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,8.5,0.5,0.3,0.0,0.0,0.0,0.0,8.5,0.3,0.0,0.0,FADE
316,2026,REG,3,401872949,2026-09-27T17:00Z,00-0039515,Winston Reid,CLE,CAR,HOME,LB,0.096,0.0,0.0,0.0954,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,28.0,LESS,20000,8.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.4,0.5,0.4,0.0,0.0,0.0,0.0,8.4,0.4,0.0,0.0,FADE
317,2026,REG,3,401872949,2026-09-27T17:00Z,00-0039406,Nathaniel Watson,CLE,CAR,HOME,LB,0.095,0.0,0.0,0.0954,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,33.0,LESS,20000,8.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.4,0.5,0.4,0.0,0.0,0.0,0.0,8.4,0.4,0.0,0.0,FADE
