player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards,projected_carries,projected_ypc,matchup_score,data_quality_score
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,60,60,0.0,0.0,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,70,70,0.0,0.0,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,80,80,0.0,0.0,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,90,90,0.0,0.0,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,100,100,0.0,0.0,VERY LOW,6.0,1.1,5.31,93.5,20.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,10,10,88.3,88.3,VERY HIGH,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,20,20,75.2,75.2,HIGH,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,30,30,60.5,60.5,SOLID,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,40,40,45.2,45.2,COIN FLIP,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,50,50,31.2,31.2,LOW,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,60,60,20.8,20.8,VERY LOW,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,70,70,12.8,12.8,VERY LOW,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,80,80,7.8,7.8,VERY LOW,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,90,90,4.2,4.2,VERY LOW,39.9,10.9,3.66,98.1,65.0
alvin kamara__NO,00-0033906,Alvin Kamara,NO,DET,RB,2026,REG,1,100,100,2.4,2.4,VERY LOW,39.9,10.9,3.66,98.1,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,10,10,52.7,52.7,LEAN,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,20,20,33.3,33.3,LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,30,30,20.2,20.2,VERY LOW,16.9,3.9,4.43,100.5,65.0
ameer abdullah__JAX,00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,40,40,11.8,11.8,VERY LOW,16.9,3.9,4.43,100.5,65.0
