Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
42,2026-07-18,824412,2026-07-18T23:10:00Z,In Progress,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,656811,Ryan O'Hearn,Pittsburgh Pirates,Cleveland Guardians,RF,L,Yes,5.0,84,346,311,88,13,0,16,50,64,27,5,76,0.283,0.347,0.479,0.826,9,37,28,8,3,0.286,0.0811,24,101,90,24,5,0.267,0.0495,0.0462,0.0426,4.35,21,7,19.4,1.08,108.0,Near normal interval,671106,Logan Allen,L,LHB vs LHP,2,1,7.1,2.45,2.05,0,0.0,12.27,4.91,1.228,1.0,0.985,1.0,1.0,17.24,20.55,95.0,50.3,C,Good
43,2026-07-18,824088,2026-07-18T20:10:00Z,Final,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Away,664034,Ty France,San Diego Padres,Kansas City Royals,1B,R,Yes,6.0,72,237,212,58,11,2,12,26,34,13,8,55,0.274,0.335,0.514,0.849,7,29,23,9,2,0.391,0.069,21,83,69,23,6,0.333,0.0723,0.0506,0.0444,4.2,3,1,17.7,0.17,17.0,Very recent HR,677976,Randy Dobnak,R,RHB vs RHP,3,1,14.0,1.93,1.5,2,1.29,4.5,5.14,1.235,1.006,0.985,1.0,0.98,17.35,20.52,87.6,48.1,C,Good
44,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Home,641680,Jonah Heim,Athletics,Washington Nationals,C,S,Yes,7.0,51,180,164,38,9,0,9,20,29,13,1,35,0.232,0.289,0.451,0.74,6,24,23,5,1,0.217,0.0417,19,71,65,13,4,0.2,0.0563,0.05,0.0428,4.02,19,5,18.2,1.04,104.3,Near normal interval,641793,Zack Littell,R,Switch vs RHP,19,12,90.0,4.9,1.31,23,2.3,5.7,2.6,1.051,1.192,1.035,1.0,1.0,16.13,20.51,82.5,47.1,C-,Good
45,2026-07-18,824088,2026-07-18T20:10:00Z,Final,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Away,592518,Manny Machado,San Diego Padres,Kansas City Royals,3B,R,Yes,4.0,95,399,347,69,16,0,19,46,55,46,0,88,0.199,0.289,0.409,0.698,9,38,32,10,2,0.312,0.0526,24,103,87,23,7,0.264,0.068,0.0476,0.044,4.48,20,5,18.3,1.1,109.5,Near normal interval,677976,Randy Dobnak,R,RHB vs RHP,3,1,14.0,1.93,1.5,2,1.29,4.5,5.14,1.141,1.006,0.985,1.0,1.0,18.26,20.44,95.0,48.3,C,Good
46,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Home,677800,Wilyer Abreu,Boston Red Sox,Tampa Bay Rays,RF,L,Yes,3.0,95,413,364,97,20,3,15,49,49,41,1,84,0.266,0.338,0.462,0.8,10,45,38,10,5,0.263,0.1111,24,106,87,21,7,0.241,0.066,0.0363,0.0353,4.49,0,0,24.3,0.0,0.0,Very recent HR,693855,Ian Seymour,L,LHB vs LHP,34,7,67.2,4.79,1.17,12,1.6,10.51,3.46,1.35,1.077,0.985,1.0,0.98,14.92,20.42,95.0,48.2,C,Good
47,2026-07-18,823116,2026-07-19T00:08:00Z,In Progress,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,669477,Casey Schmitt,San Francisco Giants,Seattle Mariners,LF,R,Yes,3.0,90,378,358,100,17,1,19,43,50,9,7,73,0.279,0.307,0.492,0.799,10,43,40,10,3,0.25,0.0698,24,97,93,25,4,0.269,0.0412,0.0503,0.0459,4.55,12,3,18.8,0.64,63.7,Recently homered,693433,Bryan Woo,R,RHB vs RHP,19,19,110.1,4.16,1.09,12,0.98,8.89,1.79,1.097,0.981,0.985,1.0,1.0,19.23,20.28,95.0,48.0,C,Good
48,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,668723,Ryan Vilade,Tampa Bay Rays,Boston Red Sox,RF,R,Yes,4.0,55,167,148,38,7,1,7,17,31,14,1,33,0.257,0.319,0.459,0.778,6,18,17,3,1,0.176,0.0556,11,40,37,6,3,0.162,0.075,0.0419,0.0378,4.48,10,3,21.1,0.47,47.3,Recently homered,663776,Patrick Sandoval,L,RHB vs LHP,2,2,9.1,4.82,1.71,1,0.96,9.64,1.93,1.257,0.997,1.025,1.0,1.0,15.84,19.97,79.1,44.9,C-,Good
49,2026-07-18,824657,2026-07-18T18:20:00Z,Final,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,680777,Ryan Jeffers,Minnesota Twins,Chicago Cubs,C,R,Yes,2.0,41,165,137,40,9,1,8,27,31,25,1,25,0.292,0.402,0.547,0.949,4,17,15,4,1,0.267,0.0588,4,17,15,4,1,0.267,0.0588,0.0485,0.0415,4.65,3,1,17.1,0.18,17.5,Very recent HR,571510,Matthew Boyd,L,RHB vs LHP,10,10,52.0,4.15,1.21,6,1.04,8.83,2.42,1.092,0.993,1.025,1.03,0.98,17.91,19.89,77.1,47.1,C-,Limited recent games
50,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,545361,Mike Trout,Los Angeles Angels,Detroit Tigers,CF,R,Yes,2.0,79,358,287,68,14,0,18,58,39,67,4,89,0.237,0.388,0.474,0.862,6,23,22,6,1,0.273,0.0435,6,23,22,6,1,0.273,0.0435,0.0503,0.0457,4.59,18,5,15.9,1.13,112.9,Near normal interval,669373,Tarik Skubal,L,RHB vs LHP,13,13,75.2,3.09,0.95,10,1.19,10.59,1.31,0.989,1.014,1.025,1.0,1.0,19.32,19.83,90.8,49.3,C,Good
51,2026-07-18,825059,2026-07-18T20:10:00Z,Final,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,676369,Nelson Velázquez,St. Louis Cardinals,Arizona Diamondbacks,LF,R,No,,24,65,57,14,3,0,4,10,12,6,1,16,0.246,0.323,0.509,0.832,6,15,15,2,1,0.133,0.0667,12,31,26,4,2,0.154,0.0645,0.0615,0.0424,4.15,5,2,14.2,0.35,35.1,Recently homered,694297,Brandon Pfaadt,R,RHB vs RHP,17,7,59.0,4.58,1.31,8,1.22,6.71,2.75,1.217,1.016,0.985,1.0,1.0,16.45,19.74,59.1,42.6,C-,Small season sample; Lineup unconfirmed
52,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Away,624413,Pete Alonso,Baltimore Orioles,Houston Astros,1B,R,Yes,4.0,99,428,367,91,17,0,21,60,66,53,4,107,0.248,0.346,0.466,0.812,9,39,32,6,2,0.188,0.0513,23,100,80,20,5,0.25,0.05,0.0491,0.0453,4.48,11,3,17.5,0.63,62.9,Recently homered,681293,Spencer Arrighetti,R,RHB vs RHP,16,16,87.0,4.34,1.31,12,1.24,9.0,4.97,1.047,1.022,0.985,1.0,1.0,18.76,19.71,95.0,47.3,C-,Good
53,2026-07-18,824657,2026-07-18T18:20:00Z,Final,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,665019,Kody Clemens,Minnesota Twins,Chicago Cubs,1B,L,Yes,6.0,85,340,309,75,18,3,18,47,48,22,5,79,0.243,0.302,0.495,0.797,9,39,35,7,2,0.2,0.0513,22,97,89,20,7,0.225,0.0722,0.0529,0.0475,4.2,0,0,17.2,0.0,0.0,Very recent HR,571510,Matthew Boyd,L,LHB vs LHP,10,10,52.0,4.15,1.21,6,1.04,8.83,2.42,1.111,0.993,0.985,1.0,0.98,18.48,19.58,95.0,46.8,C-,Good
54,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Away,694671,Wyatt Langford,Texas Rangers,Atlanta Braves,LF,R,Yes,2.0,46,199,186,51,8,2,9,27,23,12,1,44,0.274,0.322,0.484,0.806,6,26,24,6,1,0.25,0.0385,14,64,59,20,5,0.339,0.0781,0.0452,0.0403,4.65,16,4,20.7,0.77,77.4,Recently homered,702566,Owen Murphy,R,RHB vs RHP,3,1,6.2,4.05,1.2,1,1.35,8.1,2.7,1.143,1.004,0.985,1.0,1.0,17.39,19.46,83.3,45.3,C-,Good
55,2026-07-18,823116,2026-07-19T00:08:00Z,In Progress,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Home,686527,Dominic Canzone,Seattle Mariners,San Francisco Giants,DH,L,Yes,3.0,85,261,233,60,13,1,15,33,40,23,3,54,0.258,0.33,0.515,0.845,7,29,28,4,1,0.143,0.0345,18,68,63,11,4,0.175,0.0588,0.0575,0.0494,4.49,14,4,15.5,0.9,90.1,Near normal interval,657277,Logan Webb,R,LHB vs RHP,17,17,107.0,3.87,1.11,9,0.76,7.15,2.27,0.968,0.946,1.025,1.0,1.0,20.36,19.2,88.1,46.7,C-,Good
56,2026-07-18,824657,2026-07-18T18:20:00Z,Final,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,673548,Seiya Suzuki,Chicago Cubs,Minnesota Twins,RF,R,Yes,2.0,82,352,309,84,15,0,15,49,48,37,3,90,0.272,0.352,0.466,0.818,9,39,36,11,2,0.306,0.0513,22,103,91,27,5,0.297,0.0485,0.0426,0.0399,4.59,20,5,20.6,0.97,97.1,Near normal interval,671737,Taj Bradley,R,RHB vs RHP,19,19,107.2,3.85,1.25,16,1.34,10.37,3.59,1.102,1.038,0.985,1.0,1.0,17.05,19.04,95.0,47.3,C-,Good
57,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,664040,Brandon Lowe,Pittsburgh Pirates,Cleveland Guardians,2B,L,Yes,2.0,92,409,362,90,21,1,21,61,65,38,2,109,0.249,0.318,0.486,0.804,9,38,36,11,1,0.306,0.0263,23,105,96,26,3,0.271,0.0286,0.0513,0.047,4.65,31,8,17.2,1.8,179.8,Above normal drought,668909,Gavin Williams,R,LHB vs RHP,20,20,119.1,4.0,1.15,20,1.51,10.94,2.79,0.833,1.066,1.025,1.0,1.035,20.04,18.96,95.0,50.7,C,Good
58,2026-07-18,824412,2026-07-18T23:10:00Z,In Progress,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,672356,Gabriel Arias,Cleveland Guardians,Pittsburgh Pirates,3B,R,No,,32,101,96,22,2,0,5,10,10,5,0,43,0.229,0.267,0.406,0.673,7,24,24,7,2,0.292,0.0833,20,60,57,13,3,0.228,0.05,0.0495,0.04,3.93,12,3,19.2,0.62,62.5,Recently homered,682254,Mason Montgomery,L,RHB vs LHP,39,5,38.0,4.03,1.29,4,0.95,13.26,4.26,1.283,0.987,1.025,1.0,1.0,14.82,18.91,64.0,39.6,D+,Lineup unconfirmed
59,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,672356,Gabriel Arias,Cleveland Guardians,Pittsburgh Pirates,3B,R,Yes,7.0,32,101,96,22,2,0,5,10,10,5,0,43,0.229,0.267,0.406,0.673,7,24,24,7,2,0.292,0.0833,20,60,57,13,3,0.228,0.05,0.0495,0.04,4.02,12,3,19.2,0.62,62.5,Recently homered,683003,Jared Jones,R,RHB vs RHP,9,9,40.0,4.05,1.1,5,1.13,10.8,2.7,1.283,1.003,0.985,1.0,1.0,15.13,18.87,76.0,41.2,D+,Good
60,2026-07-18,822790,2026-07-18T19:07:00Z,Final,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,678246,Miguel Vargas,Chicago White Sox,Toronto Blue Jays,3B,R,Yes,3.0,96,418,351,86,21,1,21,65,59,56,6,69,0.245,0.355,0.49,0.845,9,39,33,8,1,0.242,0.0256,24,103,89,23,5,0.258,0.0485,0.0502,0.0462,4.55,16,4,16.7,0.96,95.7,Near normal interval,669456,Shane Bieber,R,RHB vs RHP,5,5,23.2,5.7,1.73,7,2.66,7.23,4.56,0.911,1.083,0.985,1.0,1.0,19.35,18.85,95.0,47.3,C-,Good
61,2026-07-18,823523,2026-07-19T00:08:00Z,Postponed,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,502671,Paul Goldschmidt,New York Yankees,Los Angeles Dodgers,1B,R,No,,69,266,243,62,9,1,15,32,42,19,3,63,0.255,0.316,0.486,0.802,7,27,25,3,1,0.12,0.037,21,77,73,11,4,0.151,0.0519,0.0564,0.0488,4.09,4,2,16.2,0.25,24.7,Very recent HR,686218,Emmet Sheehan,R,RHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,0.959,1.086,0.985,1.0,0.98,18.51,18.6,77.2,42.8,C-,Lineup unconfirmed
62,2026-07-18,824412,2026-07-18T23:10:00Z,In Progress,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,656555,Rhys Hoskins,Cleveland Guardians,Pittsburgh Pirates,1B,R,Yes,4.0,78,269,220,39,13,0,9,28,31,42,3,86,0.177,0.312,0.359,0.671,6,19,18,3,2,0.167,0.1053,19,59,51,9,3,0.176,0.0508,0.0335,0.033,4.42,10,3,24.4,0.41,40.9,Recently homered,682254,Mason Montgomery,L,RHB vs LHP,39,5,38.0,4.03,1.29,4,0.95,13.26,4.26,1.35,0.987,1.025,1.0,1.0,13.79,18.44,87.9,42.1,C-,Good
63,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Home,642201,Eli White,Atlanta Braves,Texas Rangers,RF,R,Yes,6.0,57,129,119,27,5,1,5,16,17,8,1,29,0.227,0.279,0.412,0.691,5,12,10,3,1,0.3,0.0833,14,34,32,7,2,0.219,0.0588,0.0388,0.0355,4.14,0,0,23.8,0.0,0.0,Very recent HR,669022,MacKenzie Gore,L,RHB vs LHP,21,21,110.2,4.8,1.28,14,1.14,9.92,3.42,1.324,1.006,1.025,1.0,0.98,13.9,18.25,75.9,40.4,D+,Good
64,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,800050,Chase DeLauter,Cleveland Guardians,Pittsburgh Pirates,RF,L,Yes,3.0,82,340,306,84,16,1,11,33,46,32,0,46,0.275,0.341,0.441,0.782,9,39,35,11,4,0.314,0.1026,16,70,66,21,4,0.318,0.0571,0.0324,0.0323,4.49,7,2,27.8,0.25,25.2,Very recent HR,683003,Jared Jones,R,LHB vs RHP,9,9,40.0,4.05,1.1,5,1.13,10.8,2.7,1.35,1.003,1.025,1.0,0.98,13.69,18.24,93.9,44.3,C-,Good
65,2026-07-18,822790,2026-07-18T19:07:00Z,Final,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,545341,Randal Grichuk,Chicago White Sox,Toronto Blue Jays,DH,R,No,,63,147,139,34,10,0,9,22,23,6,1,33,0.245,0.279,0.511,0.79,6,18,17,2,0,0.118,0.0,17,45,43,9,3,0.209,0.0667,0.0612,0.0481,3.99,28,11,15.4,1.81,181.3,Above normal drought,669456,Shane Bieber,R,RHB vs RHP,5,5,23.2,5.7,1.73,7,2.66,7.23,4.56,0.927,1.083,0.985,1.0,1.035,17.85,18.23,66.1,45.4,C-,Lineup unconfirmed
66,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,679529,Spencer Torkelson,Detroit Tigers,Los Angeles Angels,1B,R,Yes,5.0,96,375,326,67,18,0,16,38,43,41,5,123,0.206,0.302,0.408,0.71,8,32,30,4,2,0.133,0.0625,23,92,81,17,4,0.21,0.0435,0.0427,0.0401,4.35,11,3,20.4,0.54,54.0,Recently homered,680570,Grayson Rodriguez,R,RHB vs RHP,7,7,31.0,7.55,1.74,4,1.16,6.97,4.65,1.138,1.004,0.985,1.0,1.0,16.3,18.2,95.0,43.3,C-,Good
67,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,687263,Zach Neto,Los Angeles Angels,Detroit Tigers,SS,R,Yes,1.0,95,427,375,89,20,2,19,68,45,44,7,135,0.237,0.328,0.453,0.781,8,36,33,12,1,0.364,0.0278,22,93,86,24,4,0.279,0.043,0.0445,0.0418,4.69,28,7,19.7,1.42,141.9,Above normal drought,669373,Tarik Skubal,L,RHB vs LHP,13,13,75.2,3.09,0.95,10,1.19,10.59,1.31,0.932,1.014,1.025,1.0,1.035,18.13,18.18,95.0,47.4,C-,Good
68,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,668804,Bryan Reynolds,Pittsburgh Pirates,Cleveland Guardians,LF,S,Yes,3.0,99,429,357,102,24,2,14,70,59,62,8,97,0.286,0.401,0.482,0.883,9,37,29,9,2,0.31,0.0541,24,104,88,26,4,0.295,0.0385,0.0326,0.0325,4.55,15,5,25.5,0.59,58.8,Recently homered,668909,Gavin Williams,R,Switch vs RHP,20,20,119.1,4.0,1.15,20,1.51,10.94,2.79,1.179,1.066,1.035,1.0,1.0,13.96,17.83,95.0,45.3,C-,Good
69,2026-07-18,824088,2026-07-18T20:10:00Z,Final,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Home,695506,Jac Caglianone,Kansas City Royals,San Diego Padres,RF,L,Yes,3.0,92,357,327,85,16,2,15,44,36,25,4,103,0.26,0.319,0.459,0.778,10,44,43,11,1,0.256,0.0227,22,94,90,22,6,0.244,0.0638,0.042,0.0395,4.49,16,4,21.8,0.73,73.4,Recently homered,656288,Griffin Canning,R,LHB vs RHP,14,11,59.1,6.67,1.62,9,1.37,8.95,4.85,1.017,1.036,1.025,1.0,1.0,16.55,17.79,95.0,43.7,C-,Good
70,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Away,665953,Andrés Chaparro,Washington Nationals,Athletics,1B,R,No,,32,71,59,13,3,0,3,13,15,11,1,18,0.22,0.352,0.424,0.776,5,12,11,5,2,0.455,0.1667,13,33,30,8,3,0.267,0.0909,0.0423,0.0358,4.05,0,0,19.7,0.0,0.0,Very recent HR,669372,J.T. Ginn,R,RHB vs RHP,22,19,103.1,3.66,1.25,13,1.13,8.19,4.01,1.35,1.005,0.985,1.0,0.98,13.73,17.68,59.7,38.5,D+,Small season sample; Lineup unconfirmed
71,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Away,669394,Jake Burger,Texas Rangers,Atlanta Braves,1B,R,Yes,5.0,94,381,347,82,14,0,16,41,58,29,3,101,0.236,0.299,0.415,0.714,9,36,34,5,2,0.147,0.0556,22,90,81,16,4,0.198,0.0444,0.042,0.0396,4.35,15,4,21.7,0.69,69.2,Recently homered,702566,Owen Murphy,R,RHB vs RHP,3,1,6.2,4.05,1.2,1,1.35,8.1,2.7,1.111,1.004,0.985,1.0,1.0,16.12,17.58,95.0,42.4,C-,Good
72,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,656555,Rhys Hoskins,Cleveland Guardians,Pittsburgh Pirates,1B,R,Yes,5.0,78,269,220,39,13,0,9,28,31,42,3,86,0.177,0.312,0.359,0.671,6,19,18,3,2,0.167,0.1053,19,59,51,9,3,0.176,0.0508,0.0335,0.033,4.29,10,3,24.4,0.41,40.9,Recently homered,683003,Jared Jones,R,RHB vs RHP,9,9,40.0,4.05,1.1,5,1.13,10.8,2.7,1.35,1.003,0.985,1.0,1.0,13.41,17.56,87.9,40.7,D+,Good
73,2026-07-18,824088,2026-07-18T20:10:00Z,Final,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Home,657041,Lane Thomas,Kansas City Royals,San Diego Padres,CF,R,Yes,4.0,84,278,239,58,16,0,9,29,34,35,2,61,0.243,0.342,0.423,0.765,10,43,38,15,4,0.395,0.093,23,94,88,23,4,0.261,0.0426,0.0324,0.0323,4.42,0,0,26.6,0.0,0.0,Very recent HR,656288,Griffin Canning,R,RHB vs RHP,14,11,59.1,6.67,1.62,9,1.37,8.95,4.85,1.321,1.036,0.985,1.0,0.98,13.49,17.52,91.4,42.6,C-,Good
74,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Home,547180,Bryce Harper,Philadelphia Phillies,New York Mets,1B,L,Yes,3.0,99,417,349,91,18,2,20,59,59,61,1,84,0.261,0.367,0.496,0.863,10,43,35,5,0,0.143,0.0,24,106,91,27,5,0.297,0.0472,0.048,0.0444,4.49,51,14,17.4,2.92,292.3,Very long drought,640455,Sean Manaea,L,LHB vs LHP,21,7,79.2,4.74,1.36,12,1.36,9.15,2.94,0.868,1.042,0.985,1.0,1.06,18.45,17.49,95.0,52.5,C,Good
75,2026-07-18,823116,2026-07-19T00:08:00Z,In Progress,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,642715,Willy Adames,San Francisco Giants,Seattle Mariners,SS,R,Yes,7.0,93,392,365,84,21,1,17,47,42,25,1,109,0.23,0.281,0.433,0.714,10,42,37,8,3,0.216,0.0714,21,85,77,18,4,0.234,0.0471,0.0434,0.0407,4.08,0,0,21.5,0.0,0.0,Very recent HR,693433,Bryan Woo,R,RHB vs RHP,19,19,110.1,4.16,1.09,12,0.98,8.89,1.79,1.194,0.981,0.985,1.0,0.98,15.59,17.49,95.0,42.2,C-,Good
76,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Home,656537,Derek Hill,Philadelphia Phillies,New York Mets,RF,R,Yes,8.0,74,149,136,34,3,0,7,21,16,9,1,56,0.25,0.301,0.426,0.727,7,24,23,7,1,0.304,0.0417,18,47,44,14,3,0.318,0.0638,0.047,0.0403,3.92,11,3,19.4,0.57,56.6,Recently homered,640455,Sean Manaea,L,RHB vs LHP,21,7,79.2,4.74,1.36,12,1.36,9.15,2.94,1.113,1.042,1.025,1.0,1.0,14.89,17.49,78.4,40.1,D+,Good
77,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Home,514888,Jose Altuve,Houston Astros,Baltimore Orioles,2B,R,Yes,4.0,76,326,294,68,13,1,11,45,27,29,1,71,0.231,0.302,0.395,0.697,9,39,38,8,3,0.211,0.0769,23,100,93,22,4,0.237,0.04,0.0337,0.0333,4.42,9,2,26.7,0.34,33.7,Very recent HR,669432,Trevor Rogers,L,RHB vs LHP,18,18,96.2,4.28,1.3,10,0.93,7.17,2.98,1.3,0.973,1.025,1.0,0.98,13.89,17.38,95.0,41.8,D+,Good
78,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,690993,Colt Keith,Detroit Tigers,Los Angeles Angels,3B,L,Yes,3.0,87,273,254,62,9,2,8,35,22,15,3,54,0.244,0.293,0.39,0.683,7,18,15,2,2,0.133,0.1111,20,61,57,10,4,0.175,0.0656,0.0293,0.0301,4.55,5,3,31.8,0.16,15.7,Very recent HR,680570,Grayson Rodriguez,R,LHB vs RHP,7,7,31.0,7.55,1.74,4,1.16,6.97,4.65,1.35,1.004,1.025,1.0,0.98,12.99,17.36,88.4,40.6,D+,Good
79,2026-07-18,824088,2026-07-18T20:10:00Z,Final,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Home,686475,Tyler Tolbert,Kansas City Royals,San Diego Padres,2B,R,No,,35,60,54,20,1,0,2,17,5,4,0,11,0.37,0.407,0.5,0.907,5,17,17,11,2,0.647,0.1176,13,38,35,16,2,0.457,0.0526,0.0333,0.0324,4.25,6,3,27.0,0.22,22.2,Very recent HR,656288,Griffin Canning,R,RHB vs RHP,14,11,59.1,6.67,1.62,9,1.37,8.95,4.85,1.35,1.036,0.985,1.0,0.98,13.08,17.34,59.3,39.9,D+,Small season sample; Lineup unconfirmed
80,2026-07-18,824412,2026-07-18T23:10:00Z,In Progress,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,800050,Chase DeLauter,Cleveland Guardians,Pittsburgh Pirates,RF,L,Yes,3.0,82,340,306,84,16,1,11,33,46,32,0,46,0.275,0.341,0.441,0.782,9,39,35,11,4,0.314,0.1026,16,70,66,21,4,0.318,0.0571,0.0324,0.0323,4.49,7,2,27.8,0.25,25.2,Very recent HR,682254,Mason Montgomery,L,LHB vs LHP,39,5,38.0,4.03,1.29,4,0.95,13.26,4.26,1.35,0.987,0.985,1.0,0.98,13.69,17.33,93.9,42.8,C-,Good
81,2026-07-18,824008,2026-07-19T02:07:00Z,In Progress,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,693307,Dillon Dingler,Detroit Tigers,Los Angeles Angels,C,R,Yes,2.0,88,365,328,86,19,2,19,48,60,23,9,78,0.262,0.325,0.506,0.831,6,22,20,4,0,0.2,0.0,21,86,81,23,3,0.284,0.0349,0.0521,0.0471,4.65,52,14,17.3,3.01,301.2,Very long drought,680570,Grayson Rodriguez,R,RHB vs RHP,7,7,31.0,7.55,1.74,4,1.16,6.97,4.65,0.81,1.004,0.985,1.0,1.06,20.09,17.29,95.0,51.7,C,Good
82,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Home,673237,Yainer Diaz,Houston Astros,Baltimore Orioles,C,R,Yes,6.0,45,179,170,41,9,0,6,18,23,6,1,28,0.241,0.268,0.4,0.668,6,22,21,6,2,0.286,0.0909,18,69,66,16,4,0.242,0.058,0.0335,0.0329,4.14,10,3,28.3,0.35,35.3,Recently homered,669432,Trevor Rogers,L,RHB vs LHP,18,18,96.2,4.28,1.3,10,0.93,7.17,2.98,1.35,0.973,1.025,1.0,1.0,12.94,17.1,82.3,39.2,D+,Good
83,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Home,607208,Trea Turner,Philadelphia Phillies,New York Mets,SS,R,Yes,1.0,96,424,394,95,16,0,12,66,35,26,2,93,0.241,0.29,0.373,0.663,9,39,34,9,2,0.265,0.0513,23,105,98,29,5,0.296,0.0476,0.0283,0.0291,4.69,0,0,32.8,0.0,0.0,Very recent HR,640455,Sean Manaea,L,RHB vs LHP,21,7,79.2,4.74,1.36,12,1.36,9.15,2.94,1.282,1.042,1.025,1.0,0.98,12.94,17.04,95.0,40.8,D+,Good
84,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Home,686948,Drake Baldwin,Atlanta Braves,Texas Rangers,C,L,Yes,1.0,74,329,288,76,6,0,16,51,52,33,7,71,0.264,0.353,0.451,0.804,10,45,37,14,2,0.378,0.0444,24,103,90,17,2,0.189,0.0194,0.0486,0.0442,4.69,5,1,18.0,0.28,27.8,Very recent HR,669022,MacKenzie Gore,L,LHB vs LHP,21,21,110.2,4.8,1.28,14,1.14,9.92,3.42,0.902,1.006,0.985,1.0,0.98,19.1,16.91,95.0,42.7,C-,Good
