Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
42,2026-07-17,824170,2026-07-18T00:10:00Z,Pre-Game,Daikin Park,Baltimore Orioles @ Houston Astros,Away,691723,Coby Mayo,Baltimore Orioles,Houston Astros,3B,R,Yes,8.0,74,246,223,43,9,0,12,30,34,19,3,80,0.193,0.264,0.395,0.659,6,12,10,3,2,0.3,0.1667,16,49,43,8,3,0.186,0.0612,0.0488,0.0433,3.98,0,1,18.6,0.0,0.0,Very recent HR,663567,Peter Lambert,R,RHB vs RHP,15,15,86.0,3.14,1.12,11,1.15,8.48,3.45,1.28,1.008,0.985,1.0,0.98,16.15,19.8,85.5,43.8,F,Good
43,2026-07-17,823766,2026-07-17T23:40:00Z,Pre-Game,American Family Field,Miami Marlins @ Milwaukee Brewers,Away,669065,Kyle Stowers,Miami Marlins,Milwaukee Brewers,LF,L,Yes,4.0,72,305,268,64,16,3,12,36,42,28,6,96,0.239,0.322,0.455,0.777,7,28,25,5,2,0.2,0.0714,21,90,78,21,5,0.269,0.0556,0.0393,0.0373,4.48,14,4,22.3,0.63,62.7,Recently homered,701656,Logan Henderson,R,LHB vs RHP,6,6,28.1,3.18,0.99,2,0.64,10.8,2.22,1.29,0.97,1.025,1.0,1.0,15.65,19.71,93.0,46.5,F,Good
44,2026-07-17,824332,2026-07-18T00:40:00Z,Pre-Game,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,553993,Eugenio Suárez,Cincinnati Reds,Colorado Rockies,DH,R,Yes,5.0,67,267,240,50,10,0,11,23,35,24,2,96,0.208,0.285,0.388,0.673,8,33,29,7,3,0.241,0.0909,20,81,70,14,4,0.2,0.0494,0.0412,0.0383,4.35,0,0,21.8,0.0,0.0,Very recent HR,687312,Gabriel Hughes,R,RHB vs RHP,2,1,9.0,3.0,1.0,0,0.0,8.0,3.0,1.316,1.0,0.985,1.0,0.98,15.64,19.52,89.6,44.1,F,Good
45,2026-07-17,824332,2026-07-18T00:40:00Z,Pre-Game,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,682829,Elly De La Cruz,Cincinnati Reds,Colorado Rockies,SS,S,Yes,1.0,76,340,303,83,15,3,15,50,44,33,2,97,0.274,0.347,0.492,0.839,8,37,32,9,2,0.281,0.0541,18,83,71,18,3,0.254,0.0361,0.0441,0.041,4.75,9,2,20.2,0.45,44.6,Recently homered,687312,Gabriel Hughes,R,Switch vs RHP,2,1,9.0,3.0,1.0,0,0.0,8.0,3.0,1.049,1.0,1.035,1.0,1.0,18.02,19.43,94.9,47.2,F,Good
46,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,605137,Josh Bell,Minnesota Twins,Chicago Cubs,DH,S,Yes,3.0,94,375,343,85,21,1,13,48,60,28,2,81,0.248,0.307,0.429,0.736,8,35,32,10,2,0.312,0.0571,22,90,81,22,5,0.272,0.0556,0.0347,0.034,4.55,27,7,26.4,1.02,102.3,Near normal interval,607067,Colin Rea,R,Switch vs RHP,19,15,94.2,4.75,1.45,14,1.33,6.65,3.42,1.263,1.037,1.035,1.0,1.0,14.57,19.33,95.0,46.8,F,Good
47,2026-07-17,824170,2026-07-18T00:10:00Z,Pre-Game,Daikin Park,Baltimore Orioles @ Houston Astros,Home,514888,Jose Altuve,Houston Astros,Baltimore Orioles,2B,R,Yes,5.0,74,317,285,67,13,1,11,45,27,29,1,70,0.235,0.307,0.404,0.711,8,35,32,9,3,0.281,0.0857,21,91,84,21,4,0.25,0.044,0.0347,0.034,4.29,0,0,25.9,0.0,0.0,Very recent HR,665152,Dean Kremer,R,RHB vs RHP,4,4,22.0,4.09,1.0,9,3.68,9.82,1.64,1.317,1.13,0.985,1.0,0.98,13.78,19.31,93.9,45.0,F,Good
48,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,672356,Gabriel Arias,Cleveland Guardians,Pittsburgh Pirates,SS,R,No,,31,97,92,22,2,0,5,10,10,5,0,40,0.239,0.278,0.424,0.702,7,21,20,7,2,0.35,0.0952,20,61,58,14,3,0.241,0.0492,0.0515,0.0407,3.93,8,2,18.4,0.43,43.5,Recently homered,683003,Jared Jones,R,RHB vs RHP,8,8,35.0,4.37,1.14,5,1.29,10.03,2.83,1.301,1.015,0.985,1.0,1.0,15.08,19.27,63.8,40.5,F,Lineup unconfirmed
49,2026-07-17,823766,2026-07-17T23:40:00Z,Pre-Game,American Family Field,Miami Marlins @ Milwaukee Brewers,Away,665052,Griffin Conine,Miami Marlins,Milwaukee Brewers,LF,L,Yes,6.0,30,91,79,21,4,0,5,13,12,10,2,27,0.266,0.363,0.506,0.869,8,25,23,7,2,0.304,0.08,19,66,57,15,3,0.263,0.0455,0.0549,0.0419,4.2,0,0,15.8,0.0,0.0,Very recent HR,701656,Logan Henderson,R,LHB vs RHP,6,6,28.1,3.18,0.99,2,0.64,10.8,2.22,1.215,0.97,1.025,1.0,0.98,16.45,19.25,75.8,44.7,F,Good
50,2026-07-17,824766,2026-07-17T17:35:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,668723,Ryan Vilade,Tampa Bay Rays,Boston Red Sox,RF,R,Yes,4.0,53,160,142,37,6,1,7,15,31,13,1,32,0.261,0.321,0.465,0.786,5,16,16,2,1,0.125,0.0625,9,33,31,5,3,0.161,0.0909,0.0438,0.0387,4.48,4,1,20.3,0.2,19.7,Very recent HR,687562,Jake Bennett,L,RHB vs LHP,9,9,53.2,2.35,0.88,3,0.5,6.37,1.51,1.288,0.927,1.025,1.0,0.98,16.21,19.19,78.1,43.7,F,Good
51,2026-07-17,824737,2026-07-17T23:10:00Z,Warmup,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,683748,Victor Mesa Jr.,Tampa Bay Rays,Boston Red Sox,RF,L,No,,34,104,89,19,2,0,5,13,12,13,0,24,0.213,0.311,0.404,0.715,8,22,17,6,2,0.353,0.0909,18,53,47,11,3,0.234,0.0566,0.0481,0.0395,4.05,3,3,17.8,0.17,16.9,Very recent HR,700842,Eduardo Rivera,L,LHB vs LHP,2,1,7.0,0.0,0.57,0,0.0,7.71,2.57,1.342,1.0,0.985,1.0,0.98,15.05,19.15,63.7,40.5,F,Lineup unconfirmed
52,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,665019,Kody Clemens,Minnesota Twins,Chicago Cubs,1B,L,Yes,4.0,83,332,301,73,18,3,16,45,46,22,5,75,0.243,0.303,0.482,0.785,8,36,31,7,1,0.226,0.0278,21,94,86,19,5,0.221,0.0532,0.0482,0.0439,4.48,27,7,18.8,1.44,143.5,Above normal drought,607067,Colin Rea,R,LHB vs RHP,19,15,94.2,4.75,1.45,14,1.33,6.65,3.42,0.957,1.037,1.025,1.0,1.035,18.22,19.1,95.0,49.0,F,Good
53,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,641857,Ryan McMahon,New York Yankees,Los Angeles Dodgers,3B,L,Yes,8.0,77,225,206,44,7,0,9,23,26,18,0,72,0.214,0.277,0.379,0.656,7,20,18,4,1,0.222,0.05,11,32,29,7,2,0.241,0.0625,0.04,0.0372,3.92,2,1,22.9,0.09,8.7,Very recent HR,808963,Roki Sasaki,R,LHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,1.198,1.162,1.025,1.0,0.98,13.82,18.89,82.6,41.9,F,Good
54,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,679529,Spencer Torkelson,Detroit Tigers,Los Angeles Angels,1B,R,Yes,4.0,95,371,322,67,18,0,16,38,43,41,5,122,0.208,0.305,0.413,0.718,8,32,30,4,2,0.133,0.0625,22,88,77,17,4,0.221,0.0455,0.0431,0.0404,4.48,7,2,20.1,0.35,34.8,Very recent HR,672282,Reid Detmers,L,RHB vs LHP,19,19,108.2,4.39,1.14,12,0.99,10.19,2.9,1.143,0.982,1.025,1.0,0.98,16.87,18.86,95.0,44.5,F,Good
55,2026-07-17,824901,2026-07-17T23:15:00Z,Warmup,Truist Park,Texas Rangers @ Atlanta Braves,Away,669394,Jake Burger,Texas Rangers,Atlanta Braves,1B,R,Yes,5.0,92,372,338,81,14,0,16,41,58,29,3,98,0.24,0.304,0.423,0.727,7,27,25,4,2,0.16,0.0741,21,85,75,16,4,0.213,0.0471,0.043,0.0403,4.35,6,2,21.1,0.28,28.4,Very recent HR,519242,Chris Sale,L,RHB vs LHP,17,17,98.0,2.2,1.11,8,0.73,10.74,2.3,1.214,0.941,1.025,1.0,0.98,16.39,18.62,95.0,44.3,F,Good
56,2026-07-17,824981,2026-07-18T01:40:00Z,Pre-Game,Sutter Health Park,Washington Nationals @ Athletics,Home,691016,Tyler Soderstrom,Athletics,Washington Nationals,LF,L,Yes,3.0,84,347,299,72,21,2,14,43,42,45,2,61,0.241,0.343,0.465,0.808,4,12,10,2,1,0.2,0.0833,13,47,39,11,2,0.282,0.0426,0.0403,0.0382,4.49,3,1,21.4,0.14,14.0,Very recent HR,676917,Cade Cavalli,R,LHB vs RHP,20,20,98.2,3.83,1.35,8,0.73,10.03,2.92,1.223,0.941,1.025,1.0,0.98,16.04,18.35,92.5,44.7,F,Good
57,2026-07-17,825060,2026-07-18T01:40:00Z,Pre-Game,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Home,606466,Ketel Marte,Arizona Diamondbacks,St. Louis Cardinals,2B,S,Yes,1.0,92,405,371,95,19,3,17,51,54,29,2,58,0.256,0.311,0.461,0.772,9,40,37,5,0,0.135,0.0,22,96,88,22,6,0.25,0.0625,0.042,0.0397,4.69,46,11,21.8,2.11,210.8,Very long drought,700241,Michael McGreevy,R,Switch vs RHP,18,18,101.2,3.01,1.1,13,1.15,5.84,2.04,0.96,1.008,1.035,1.0,1.06,17.3,18.29,95.0,50.6,D,Good
58,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,676609,José Caballero,New York Yankees,Los Angeles Dodgers,SS,R,Yes,7.0,83,298,272,68,10,0,10,36,35,16,5,69,0.25,0.301,0.397,0.698,8,27,25,7,2,0.28,0.0741,22,78,71,15,3,0.211,0.0385,0.0336,0.0331,4.02,19,6,27.2,0.7,69.9,Recently homered,808963,Roki Sasaki,R,RHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,1.293,1.162,0.985,1.0,1.0,12.66,18.28,91.5,42.8,F,Good
59,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,642708,Amed Rosario,New York Yankees,Los Angeles Dodgers,3B,R,No,,56,165,151,36,4,1,9,20,27,11,0,40,0.238,0.285,0.457,0.742,7,12,11,1,0,0.091,0.0,17,48,44,9,3,0.205,0.0625,0.0545,0.0451,3.93,11,7,16.8,0.66,65.6,Recently homered,808963,Roki Sasaki,R,RHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,0.958,1.162,0.985,1.0,1.0,16.57,18.05,67.6,39.7,F,Lineup unconfirmed
60,2026-07-17,824332,2026-07-18T00:40:00Z,Pre-Game,Coors Field,Cincinnati Reds @ Colorado Rockies,Home,664983,Jake McCarthy,Colorado Rockies,Cincinnati Reds,CF,L,Yes,1.0,83,307,279,84,18,6,10,39,53,18,3,54,0.301,0.347,0.516,0.863,9,38,32,8,1,0.25,0.0263,23,100,92,30,6,0.326,0.06,0.0326,0.0324,4.69,0,0,27.9,0.0,0.0,Very recent HR,663903,Brady Singer,R,LHB vs RHP,18,18,89.2,4.72,1.47,20,2.01,7.63,3.11,1.112,1.146,1.025,1.0,0.98,14.32,18.01,93.9,45.2,F,Good
61,2026-07-17,824170,2026-07-18T00:10:00Z,Pre-Game,Daikin Park,Baltimore Orioles @ Houston Astros,Home,673237,Yainer Diaz,Houston Astros,Baltimore Orioles,C,R,No,,44,174,165,41,9,0,6,18,23,6,1,27,0.248,0.276,0.412,0.688,6,21,20,7,3,0.35,0.1429,17,64,61,16,4,0.262,0.0625,0.0345,0.0335,3.93,5,2,27.5,0.18,18.2,Very recent HR,665152,Dean Kremer,R,RHB vs RHP,4,4,22.0,4.09,1.0,9,3.68,9.82,1.64,1.35,1.13,0.985,1.0,0.98,12.52,18.01,69.5,39.1,F,Lineup unconfirmed
62,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,691176,Jasson Domínguez,New York Yankees,Los Angeles Dodgers,RF,S,Yes,5.0,36,140,132,31,8,0,5,13,11,6,1,28,0.235,0.273,0.409,0.682,9,36,34,10,2,0.294,0.0556,24,94,89,22,3,0.247,0.0319,0.0357,0.034,4.29,8,2,26.4,0.3,30.3,Very recent HR,808963,Roki Sasaki,R,Switch vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,1.128,1.162,1.035,1.0,0.98,13.79,18.0,81.5,40.7,F,Good
63,2026-07-17,824090,2026-07-18T00:10:00Z,Pre-Game,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Away,664034,Ty France,San Diego Padres,Kansas City Royals,1B,R,Yes,6.0,70,229,206,55,9,2,11,24,33,12,7,54,0.267,0.325,0.49,0.815,6,25,21,6,1,0.286,0.04,19,75,63,20,5,0.317,0.0667,0.048,0.0425,4.2,2,1,18.7,0.11,10.7,Very recent HR,607625,Seth Lugo,R,RHB vs RHP,19,19,104.2,4.56,1.43,15,1.29,7.39,2.92,1.089,1.03,0.985,1.0,0.98,16.68,17.97,86.4,43.3,F,Good
64,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,663757,Trent Grisham,New York Yankees,Los Angeles Dodgers,CF,L,Yes,1.0,76,303,259,61,14,2,10,49,40,41,0,51,0.236,0.337,0.421,0.758,9,35,32,7,1,0.219,0.0286,10,39,35,9,2,0.257,0.0513,0.033,0.0327,4.69,3,1,25.9,0.12,11.6,Very recent HR,808963,Roki Sasaki,R,LHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,1.074,1.162,1.025,1.0,0.98,14.45,17.83,88.8,42.6,F,Good
65,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,680777,Ryan Jeffers,Minnesota Twins,Chicago Cubs,C,R,Yes,2.0,39,157,130,38,9,1,7,26,28,24,1,24,0.292,0.404,0.538,0.942,2,9,8,2,0,0.25,0.0,2,9,8,2,0,0.25,0.0,0.0446,0.0391,4.65,11,3,18.6,0.59,59.2,Recently homered,607067,Colin Rea,R,RHB vs RHP,19,15,94.2,4.75,1.45,14,1.33,6.65,3.42,1.0,1.037,0.985,1.03,1.0,16.94,17.75,75.9,43.4,F,Limited recent games
66,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,680474,Max Schuemann,New York Yankees,Los Angeles Dodgers,SS,R,No,,32,68,54,13,5,0,2,17,6,11,3,17,0.241,0.397,0.444,0.841,6,20,17,6,1,0.353,0.05,12,32,27,7,2,0.259,0.0625,0.0294,0.0311,4.17,15,5,27.0,0.56,55.6,Recently homered,808963,Roki Sasaki,R,RHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,1.287,1.162,0.985,1.0,1.0,12.33,17.74,59.4,39.6,F,Small season sample; Lineup unconfirmed
67,2026-07-17,825060,2026-07-18T01:40:00Z,Pre-Game,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,663494,Bryan Torres,St. Louis Cardinals,Arizona Diamondbacks,LF,L,No,,30,73,67,13,0,2,4,9,8,5,0,16,0.194,0.25,0.433,0.683,8,18,18,1,0,0.056,0.0,16,25,25,3,2,0.12,0.08,0.0548,0.0406,3.99,18,8,16.8,1.07,107.5,Near normal interval,518876,Merrill Kelly,R,LHB vs RHP,16,16,93.2,5.38,1.51,20,1.92,5.67,3.65,1.01,1.131,1.025,1.0,1.0,15.25,17.67,59.2,38.5,F,Small season sample; Lineup unconfirmed
68,2026-07-17,824090,2026-07-18T00:10:00Z,Pre-Game,Kauffman Stadium,San Diego Padres @ Kansas City Royals,Home,695506,Jac Caglianone,Kansas City Royals,San Diego Padres,RF,L,Yes,3.0,90,349,319,83,15,2,15,44,35,25,4,102,0.26,0.321,0.461,0.782,9,40,39,9,1,0.231,0.025,21,91,87,21,7,0.241,0.0769,0.043,0.0402,4.49,8,2,21.3,0.38,37.6,Recently homered,650633,Michael King,R,LHB vs RHP,19,19,108.1,3.41,1.15,10,0.83,7.64,3.57,1.07,0.957,1.025,1.0,1.0,16.81,17.58,95.0,43.4,F,Good
69,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,693307,Dillon Dingler,Detroit Tigers,Los Angeles Angels,C,R,Yes,3.0,87,361,325,85,19,2,19,48,60,23,8,77,0.262,0.323,0.508,0.831,6,22,20,3,0,0.15,0.0,20,82,78,22,3,0.282,0.0366,0.0526,0.0475,4.55,49,13,17.1,2.86,286.5,Very long drought,672282,Reid Detmers,L,RHB vs LHP,19,19,108.2,4.39,1.14,12,0.99,10.19,2.9,0.816,0.982,1.025,1.0,1.06,19.86,17.48,95.0,52.0,D,Good
70,2026-07-17,824901,2026-07-17T23:15:00Z,Warmup,Truist Park,Texas Rangers @ Atlanta Braves,Away,592626,Joc Pederson,Texas Rangers,Atlanta Braves,DH,L,No,,88,294,251,59,8,2,15,35,34,36,3,66,0.235,0.334,0.462,0.796,8,26,22,4,1,0.182,0.0385,20,76,68,14,6,0.206,0.0789,0.051,0.0455,4.05,6,2,16.7,0.36,35.9,Recently homered,519242,Chris Sale,L,LHB vs LHP,17,17,98.0,2.2,1.11,8,0.73,10.74,2.3,1.098,0.941,0.985,1.0,1.0,17.19,17.47,79.1,41.2,F,Lineup unconfirmed
71,2026-07-17,824170,2026-07-18T00:10:00Z,Pre-Game,Daikin Park,Baltimore Orioles @ Houston Astros,Home,572233,Christian Walker,Houston Astros,Baltimore Orioles,1B,R,Yes,4.0,96,400,359,85,19,1,20,50,58,33,7,90,0.237,0.313,0.462,0.775,8,35,30,7,1,0.233,0.0286,21,89,78,16,2,0.205,0.0225,0.05,0.0458,4.42,23,6,18.0,1.28,128.1,Near normal interval,665152,Dean Kremer,R,RHB vs RHP,4,4,22.0,4.09,1.0,9,3.68,9.82,1.64,0.825,1.13,0.985,1.0,1.0,18.73,17.32,95.0,45.3,F,Good
72,2026-07-17,824332,2026-07-18T00:40:00Z,Pre-Game,Coors Field,Cincinnati Reds @ Colorado Rockies,Home,691720,Kyle Karros,Colorado Rockies,Cincinnati Reds,3B,R,Yes,5.0,93,323,278,73,18,2,9,47,34,40,3,68,0.263,0.359,0.439,0.798,9,39,35,9,3,0.257,0.0769,22,81,69,21,5,0.304,0.0617,0.0279,0.029,4.29,4,1,30.9,0.13,12.9,Very recent HR,663903,Brady Singer,R,RHB vs RHP,18,18,89.2,4.72,1.47,20,2.01,7.63,3.11,1.35,1.146,0.985,1.0,0.98,11.85,17.28,93.6,43.0,F,Good
73,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Away,668904,Royce Lewis,Minnesota Twins,Chicago Cubs,3B,R,Yes,5.0,63,256,228,50,11,0,10,30,29,24,2,69,0.219,0.297,0.399,0.696,8,34,30,8,2,0.267,0.0588,22,95,87,21,4,0.241,0.0421,0.0391,0.0368,4.35,2,1,22.8,0.09,8.8,Very recent HR,607067,Colin Rea,R,RHB vs RHP,19,15,94.2,4.75,1.45,14,1.33,6.65,3.42,1.157,1.037,0.985,1.0,0.98,15.05,17.27,89.9,40.9,F,Good
74,2026-07-17,824981,2026-07-18T01:40:00Z,Pre-Game,Sutter Health Park,Washington Nationals @ Athletics,Home,669127,Shea Langeliers,Athletics,Washington Nationals,C,R,Yes,4.0,86,386,350,90,16,0,21,52,46,30,5,85,0.257,0.324,0.483,0.807,6,23,20,3,1,0.15,0.0435,19,78,71,13,3,0.183,0.0385,0.0544,0.0491,4.42,0,0,16.7,0.0,0.0,Very recent HR,676917,Cade Cavalli,R,RHB vs RHP,20,20,98.2,3.83,1.35,8,0.73,10.03,2.92,0.936,0.941,0.985,1.0,0.98,19.95,17.17,95.0,43.1,F,Good
75,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,664040,Brandon Lowe,Pittsburgh Pirates,Cleveland Guardians,2B,L,No,,90,402,357,88,21,1,21,59,64,37,2,107,0.246,0.316,0.487,0.803,8,36,36,10,1,0.278,0.0278,21,98,91,24,3,0.264,0.0306,0.0522,0.0476,4.15,26,6,17.0,1.53,152.9,Above normal drought,668909,Gavin Williams,R,LHB vs RHP,19,19,113.1,3.81,1.15,17,1.35,10.64,2.94,0.844,1.04,1.025,1.0,1.035,18.32,17.15,84.8,45.2,F,Lineup unconfirmed
76,2026-07-17,823115,2026-07-18T02:10:00Z,Pre-Game,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,671218,Heliot Ramos,San Francisco Giants,Seattle Mariners,LF,R,Yes,5.0,58,235,222,61,13,3,8,31,28,12,0,61,0.275,0.311,0.468,0.779,9,40,39,12,2,0.308,0.05,14,59,57,17,4,0.298,0.0678,0.034,0.0334,4.35,25,6,27.8,0.9,90.1,Near normal interval,682243,Bryce Miller,R,RHB vs RHP,10,9,57.2,2.18,0.83,8,1.25,10.14,1.4,1.263,1.02,0.985,1.0,1.0,13.72,17.14,85.5,42.0,F,Good
77,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,687263,Zach Neto,Los Angeles Angels,Detroit Tigers,SS,R,Yes,1.0,94,423,371,87,20,2,19,67,45,44,7,133,0.235,0.326,0.453,0.779,8,36,33,10,1,0.303,0.0278,22,93,86,22,4,0.256,0.043,0.0449,0.0421,4.69,24,6,19.5,1.23,122.9,Near normal interval,675512,Troy Melton,R,RHB vs RHP,8,8,49.1,1.82,0.81,7,1.28,7.48,2.01,0.929,1.02,0.985,1.0,1.0,18.25,17.13,95.0,44.8,F,Good
78,2026-07-17,824332,2026-07-18T00:40:00Z,Pre-Game,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,663993,Nathaniel Lowe,Cincinnati Reds,Colorado Rockies,DH,L,No,,70,224,198,49,13,0,10,21,26,26,0,60,0.247,0.335,0.465,0.8,3,13,12,2,1,0.167,0.0769,14,45,41,9,1,0.22,0.0222,0.0446,0.0402,4.15,0,0,19.8,0.0,0.0,Very recent HR,687312,Gabriel Hughes,R,LHB vs RHP,2,1,9.0,3.0,1.0,0,0.0,8.0,3.0,1.089,1.0,1.025,1.0,0.98,15.67,17.03,71.6,39.5,F,Lineup unconfirmed
79,2026-07-17,822789,2026-07-17T23:15:00Z,Warmup,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,678246,Miguel Vargas,Chicago White Sox,Toronto Blue Jays,3B,R,Yes,3.0,94,409,343,84,20,1,21,64,59,56,5,67,0.245,0.355,0.493,0.848,8,35,28,6,1,0.214,0.0286,23,98,85,21,5,0.247,0.051,0.0513,0.047,4.55,8,2,16.3,0.49,49.0,Recently homered,693686,Spencer Miles,R,RHB vs RHP,26,3,60.0,2.85,1.1,4,0.6,8.55,2.85,0.929,0.931,0.985,1.0,1.0,19.65,16.97,95.0,43.4,F,Good
80,2026-07-17,823115,2026-07-18T02:10:00Z,Pre-Game,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,805811,Bryce Eldridge,San Francisco Giants,Seattle Mariners,DH,L,Yes,2.0,54,217,188,51,13,0,8,28,20,28,0,53,0.271,0.364,0.468,0.832,9,37,32,8,2,0.25,0.0541,21,86,75,15,2,0.2,0.0233,0.0369,0.0351,4.65,10,3,23.5,0.43,42.6,Recently homered,682243,Bryce Miller,R,LHB vs RHP,10,9,57.2,2.18,0.83,8,1.25,10.14,1.4,1.058,1.02,1.025,1.0,1.0,15.32,16.82,86.4,41.7,F,Good
81,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Home,800050,Chase DeLauter,Cleveland Guardians,Pittsburgh Pirates,RF,L,No,,80,333,299,83,16,1,11,33,46,32,0,45,0.278,0.345,0.448,0.793,8,36,32,11,4,0.344,0.1111,14,63,59,20,4,0.339,0.0635,0.033,0.0328,3.99,0,0,27.2,0.0,0.0,Very recent HR,683003,Jared Jones,R,LHB vs RHP,8,8,35.0,4.37,1.14,5,1.29,10.03,2.83,1.35,1.015,1.025,1.0,0.98,12.44,16.82,80.8,40.4,F,Lineup unconfirmed
82,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Away,682985,Riley Greene,Detroit Tigers,Los Angeles Angels,LF,L,Yes,5.0,95,400,344,99,19,1,13,48,45,51,2,108,0.288,0.38,0.462,0.842,8,33,27,9,2,0.333,0.0606,21,90,76,20,5,0.263,0.0556,0.0325,0.0324,4.35,19,6,26.5,0.72,71.8,Recently homered,672282,Reid Detmers,L,LHB vs LHP,19,19,108.2,4.39,1.14,12,0.99,10.19,2.9,1.321,0.982,0.985,1.0,1.0,13.34,16.79,95.0,43.0,F,Good
83,2026-07-17,825060,2026-07-18T01:40:00Z,Pre-Game,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Home,571448,Nolan Arenado,Arizona Diamondbacks,St. Louis Cardinals,3B,R,Yes,7.0,90,347,309,75,17,0,12,45,40,29,6,74,0.243,0.317,0.414,0.731,8,32,28,7,3,0.25,0.0938,21,82,75,20,4,0.267,0.0488,0.0346,0.0339,4.02,4,1,25.8,0.16,15.5,Very recent HR,700241,Michael McGreevy,R,RHB vs RHP,18,18,101.2,3.01,1.1,13,1.15,5.84,2.04,1.343,1.008,0.985,1.0,0.98,12.95,16.66,95.0,41.2,F,Good
