rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,ladder_yards,probability_pct,grade
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,270,1.4,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,280,1.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,290,0.6,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,300,0.4,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,310,0.2,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,320,0.1,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,330,0.1,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,340,0.1,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,350,0.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,360,0.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,370,0.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,380,0.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,390,0.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,400,0.0,VERY LOW
3,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,6.46,115.6,66.8,176.0,186.1,190.5,29.5,70.8,116.2,161.0,201.2,100,59.4,LEAN
3,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,6.46,115.6,66.8,176.0,186.1,190.5,29.5,70.8,116.2,161.0,201.2,110,53.6,LEAN
3,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,6.46,115.6,66.8,176.0,186.1,190.5,29.5,70.8,116.2,161.0,201.2,120,47.7,COIN FLIP
3,2026,PRE,0,2026 Hall of Fame Game,00-0039150,Bryce Young,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,3,9.0,NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,44,28.0,16.0,AUTO_PRESEASON_USAGE,young_backup,6.46,115.6,66.8,176.0,186.1,190.5,29.5,70.8,116.2,161.0,201.2,130,41.8,COIN FLIP
